case,family,rows,columns,required_columns,dibble_ms,tibble_ms,skip_type_capture_ms,skip_prepare_type_capture_ms,direct_ms,known5_ms,known_all_ms,stata_full_ms,stata_projected_ms,direct_saved_ms,direct_saved_percent,current_to_stata_ratio,direct_to_stata_ratio
numeric-n1000-p8,numeric,1000,8,1,0.5,0.37565104166666663,0.44921874999999994,0.3821614583333333,0.33837890625,0.5380859375,0.6513671875,0.01605224609375,0.03143310546875,0.16162109375,32.32421875,31.14828897338403,21.079847908745247
mixed-n1000-p8,mixed,1000,8,1,0.52734375,0.38476562499999994,0.46419270833333326,0.4016927083333333,0.35546875,0.5400390625,0.6787109375,0.016876220703125,0.03265380859375,0.171875,32.592592592592595,31.247739602169982,21.063291139240505
short_low-n1000-p8,short_low,1000,8,1,0.65625,0.470703125,0.5537109375,0.4814453125,0.43880208333333337,0.546875,0.7978515625,0.023193359374999997,0.03607177734375,0.21744791666666663,33.134920634920626,28.294736842105266,18.91929824561404
short_high-n1000-p8,short_high,1000,8,1,0.955078125,0.7626953125,0.8349609375,0.77734375,0.732421875,0.58203125,1.1125000000000003,0.023966471354166668,0.03656005859375,0.22265625,23.31288343558282,39.850594227504246,30.560271646859082
numeric-n10000-p8,numeric,10000,8,1,0.6650390625,0.5400390625,0.6142578125,0.548828125,0.50390625,0.5537109375,0.8193359375,0.05615234375,0.19804687499999998,0.1611328125,24.229074889867842,11.843478260869565,8.97391304347826
mixed-n10000-p8,mixed,10000,8,1,0.841796875,0.70703125,0.7861328124999999,0.71875,0.6728515625,0.5576171875,1.0010416666666666,0.06412760416666669,0.20898437500000003,0.1689453125,20.069605568445482,13.126903553299488,10.492385786802027
short_low-n10000-p8,short_low,10000,8,1,1.943359375,1.78125,1.7951388888888888,1.7326388888888888,1.6875000000000002,0.759765625,2.078125,0.13330078125,0.25634765625,0.2558593749999998,13.165829145728637,14.578754578754578,12.65934065934066
short_high-n10000-p8,short_high,10000,8,1,4.796875,4.5125,4.55,4.59375,4.03125,1.0791666666666666,4.6875,0.13211495535714285,0.25830078125,0.765625,15.96091205211726,36.308342133051745,30.51319957761352
numeric-n1000-p128,numeric,1000,128,7,2.263392857142857,1.634375,1.82421875,1.6875000000000002,1.29296875,0.7431640625,2.5446428571428568,0.066015625,0.06975446428571429,0.9704241071428572,42.874753451676526,34.28571428571429,19.585798816568047
mixed-n1000-p128,mixed,1000,128,7,2.8125,1.99609375,2.223214285714286,2.0078125,1.6562500000000002,0.7724609375,3.0572916666666665,0.06783854166666668,0.07096354166666667,1.1562499999999998,41.1111111111111,41.45873320537427,24.414587332053742
