case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
numeric-n1000-p8,current,load,allocation,1,500816,,,,,
numeric-n1000-p8,current,load,retained,1,,740704,597032,42696,42631,130203648
numeric-n1000-p8,current,load,retained,2,,740704,597032,42696,42631,129990656
numeric-n1000-p8,current,load,retained,3,,740704,597032,42696,42631,130072576
numeric-n1000-p8,current,first_value,allocation,1,500816,,,,,
numeric-n1000-p8,current,first_value,retained,1,,784720,640976,45207,45133,130121728
numeric-n1000-p8,current,first_value,retained,2,,784720,640976,45207,45133,130121728
numeric-n1000-p8,current,first_value,retained,3,,784720,640976,45207,45133,130236416
numeric-n1000-p8,current,fraction,allocation,1,877872,,,,,
numeric-n1000-p8,current,fraction,retained,1,,994640,810952,54672,54604,130580480
numeric-n1000-p8,current,fraction,retained,2,,994640,810952,54672,54604,130531328
numeric-n1000-p8,current,fraction,retained,3,,994640,810952,54672,54604,130482176
numeric-n1000-p8,current,known5_fraction,allocation,1,771816,,,,,
numeric-n1000-p8,current,known5_fraction,retained,1,,1230296,1103032,74737,74732,131055616
numeric-n1000-p8,current,known5_fraction,retained,2,,1230296,1103032,74737,74732,131121152
numeric-n1000-p8,current,known5_fraction,retained,3,,1230296,1103032,74737,74732,131366912
numeric-n1000-p8,current,all,allocation,1,500816,,,,,
numeric-n1000-p8,current,all,retained,1,,742360,598624,42741,42674,130301952
numeric-n1000-p8,current,all,retained,2,,742360,598624,42741,42674,130252800
numeric-n1000-p8,current,all,retained,3,,742360,598624,42741,42674,130220032
numeric-n1000-p8,current,datasig,allocation,1,485616,,,,,
numeric-n1000-p8,current,datasig,retained,1,,951336,807632,54119,54052,131825664
numeric-n1000-p8,current,datasig,retained,2,,951336,807632,54119,54052,131219456
numeric-n1000-p8,current,datasig,retained,3,,951336,807632,54119,54052,130990080
numeric-n1000-p8,direct,load,allocation,1,500816,,,,,
numeric-n1000-p8,direct,load,retained,1,,629776,487840,36636,36670,130023424
