case,scenario,current_Rprofmem_bytes,current_retained_vector_delta_bytes_median,current_released_vector_delta_bytes_median,current_retained_header_delta_cells_median,current_released_header_delta_cells_median,current_peak_RSS_bytes_minimum,current_peak_RSS_bytes_median,current_peak_RSS_bytes_maximum,direct_Rprofmem_bytes,direct_retained_vector_delta_bytes_median,direct_released_vector_delta_bytes_median,direct_retained_header_delta_cells_median,direct_released_header_delta_cells_median,direct_peak_RSS_bytes_minimum,direct_peak_RSS_bytes_median,direct_peak_RSS_bytes_maximum
numeric-n1000-p8,load,500816,740704,597032,42696,42631,129990656,130072576,130203648,500816,629776,487840,36636,36670,129990656,130023424,130170880
numeric-n1000-p8,first_value,500816,784720,640976,45207,45133,130121728,130121728,130236416,500816,678440,534696,39415,39341,130105344,130105344,130154496
numeric-n1000-p8,fraction,877872,994640,810952,54672,54604,130482176,130531328,130580480,877872,955552,771864,52484,52416,130449408,130514944,130547712
numeric-n1000-p8,known5_fraction,771816,1230296,1103032,74737,74732,131055616,131121152,131366912,771816,1192120,1064856,72614,72609,130924544,131072000,131252224
numeric-n1000-p8,all,500816,742360,598624,42741,42674,130220032,130252800,130301952,500816,638664,494928,37113,37046,130039808,130072576,130121728
numeric-n1000-p8,datasig,485616,951336,807632,54119,54052,130990080,131219456,131825664,485616,841368,698552,48126,48112,130891776,130908160,131022848
numeric-n10000-p128,load,10713448,10932064,597032,44376,42631,149749760,149782528,149848064,10698544,10821136,487840,38316,36670,149553152,149684224,152043520
numeric-n10000-p128,first_value,10713448,10976080,640976,46887,45133,149782528,149831680,149880832,10698544,10869800,534696,41095,39341,149553152,149585920,149585920
numeric-n10000-p128,fraction,11768208,11186904,811752,56365,54617,151060480,151076864,151076864,11753304,11147816,772664,54177,52429,150880256,150913024,151011328
numeric-n10000-p128,known5_fraction,2025768,1783920,1103832,75068,74985,140361728,140378112,140492800,2025768,1745744,1065656,72945,72862,140165120,140214272,140345344
numeric-n10000-p128,all,10714520,10934680,598624,44421,42674,149782528,149798912,149848064,10699616,10830984,494928,38793,37046,149536768,149569536,149618688
numeric-n10000-p128,datasig,10732656,11142696,807632,55799,54052,161202176,161251328,161497088,10717752,11032728,698552,49806,48112,161267712,161316864,161333248
numeric-n1000-p1024,load,8916472,8998752,597032,56920,42631,148439040,148668416,148684800,8801072,8887824,487840,50860,36670,147030016,147439616,147488768
numeric-n1000-p1024,first_value,8916472,9042728,640976,59428,45133,148471808,148865024,148930560,8801072,8936488,534696,53639,39341,147095552,147275776,147652608
numeric-n1000-p1024,fraction,9660232,9254264,811752,68906,54617,149061632,149159936,149291008,9544832,9215216,772664,66721,52429,147783680,148226048,148258816
numeric-n1000-p1024,known5_fraction,1741472,1646032,1103832,77445,76777,140754944,140886016,141000704,1733256,1607856,1065656,75322,74654,140820480,140820480,140869632
numeric-n1000-p1024,all,8924712,9008496,598624,56962,42674,148357120,148783104,148815872,8809312,8904840,494928,51337,37046,147259392,147390464,150159360
numeric-n1000-p1024,datasig,9182976,9209344,807632,68340,54052,160399360,160595968,160677888,9067576,9099376,698552,62347,48112,160219136,160235520,160399360
mixed-n10000-p128,load,4492440,4722448,2950776,44894,43462,142737408,142786560,142835712,4477536,4606152,2836216,38518,37185,142376960,142524416,142524416
mixed-n10000-p128,first_value,4492440,4759080,2987384,46960,45523,142753792,142786560,142999552,4477536,4647432,2875736,40852,39415,142393344,142671872,142721024
mixed-n10000-p128,fraction,5390944,5065000,3184024,57966,56501,144162816,144162816,144179200,5376040,5025912,3144936,55778,54313,144015360,144015360,144064512
mixed-n10000-p128,known5_fraction,1509464,1518592,1249472,76562,76462,140001280,140099584,140181504,1509464,1480416,1211296,74439,74339,140034048,140115968,140132352
mixed-n10000-p128,all,5334520,4730536,2957840,45120,43686,143704064,143720448,143785984,5319616,4621472,2848776,39176,37742,143589376,143605760,143654912
mixed-n10000-p128,datasig,4511648,4937864,3165368,56576,55085,151846912,151846912,151912448,4496744,4822912,3051304,50302,48864,151552000,151633920,152502272
short_low-n10000-p128,load,467304,714360,623416,44763,43401,152322048,152371200,152485888,452400,598336,509128,38429,37166,152027136,152109056,152174592
short_low-n10000-p128,first_value,438696,731568,640584,45665,44295,152322048,152567808,152584192,423792,620192,529208,39597,38227,152141824,152141824,152403968
short_low-n10000-p128,fraction,1781320,1018368,884488,59639,58166,154058752,154206208,154435584,1766416,979280,845400,57451,55978,153911296,154025984,154140672
short_low-n10000-p128,known5_fraction,1724688,1278888,1156200,78215,78044,140656640,140705792,140771328,1724688,1240712,1118024,76092,75921,140705792,140705792,140787712
short_low-n10000-p128,all,5594520,749520,657552,45836,44472,158547968,158646272,158662656,5579616,640728,548760,39934,38570,158384128,158449664,158564352
short_low-n10000-p128,datasig,486512,920648,824544,56065,54316,183156736,183205888,183320576,471608,805856,710640,49812,48116,182894592,183042048,183173120
short_high-n10000-p128,load,10624360,10848888,10757944,44763,43401,310706176,312180736,313131008,10609456,10732864,10643656,38429,37166,311345152,312934400,313147392
short_high-n10000-p128,first_value,10595752,10866096,10775112,45665,44295,311771136,312180736,313638912,10580848,10754720,10663736,39597,38227,311230464,311296000,312557568
short_high-n10000-p128,fraction,14100432,12419936,11335944,69543,68070,340049920,340410368,341377024,14085528,12380848,11296856,67355,65882,338739200,339312640,339656704
short_high-n10000-p128,known5_fraction,4442208,3100160,2027360,88119,87948,176832512,176979968,177029120,4442208,3061984,1989184,85996,85825,176668672,176701440,176963584
short_high-n10000-p128,all,15751576,59315112,59223184,1313545,1312184,405028864,406257664,406355968,15736672,59206320,59114392,1307643,1306282,404619264,405487616,405667840
short_high-n10000-p128,datasig,10643568,11055176,10959072,56065,54316,340492288,340492288,340885504,10628664,10940384,10845168,49812,48116,340180992,340443136,340443136
strl_low-n10000-p32,load,446264,689008,607288,43322,43017,142622720,142688256,142721024,442176,572992,493000,36989,36782,142508032,142655488,142671872
strl_low-n10000-p32,first_value,417656,709536,627776,44224,43911,142655488,142671872,145211392,413568,598168,516400,38157,37843,142671872,142753792,143097856
strl_low-n10000-p32,fraction,1630080,1019088,894920,58168,57782,143507456,143572992,143769600,1625992,980000,855832,55980,55594,143409152,143458304,143589376
strl_low-n10000-p32,known5_fraction,1574040,1303672,1181920,77922,77832,134955008,135069696,135135232,1574040,1265496,1143744,75799,75709,134660096,134742016,134807552
strl_low-n10000-p32,all,1728408,1548744,1466768,43627,43320,143687680,143802368,143884288,1724320,1439960,1357976,37726,37418,143556608,143622144,144506880
strl_low-n10000-p32,datasig,438784,891456,808416,54336,53932,1205141504,1205141504,1205141504,434696,776664,694512,48083,47732,1205059584,1205075968,1205321728
strl_high-n10000-p32,load,704056,941168,859448,43322,43017,414400512,414449664,417005568,699968,825152,745160,36989,36782,414253056,414433280,414466048
strl_high-n10000-p32,first_value,675448,961696,879936,44224,43911,414285824,414384128,414531584,671360,850328,768560,38157,37843,414318592,414351360,415858688
