case,family,rows,file_columns,loaded_columns,scenario,comparison,left_method,right_method,left_ms,right_ms,right_minus_left_ms,right_minus_left_percent,left_minimum_ms,left_maximum_ms,right_minimum_ms,right_maximum_ms
numeric-n1000-p1024,numeric,1000,1024,1024,load,direct_minus_current,current_load,direct_load,15.5,8.115384615384615,-7.384615384615385,-47.642679900744426,14.857142857142858,16.857142857142854,7.846153846153847,8.5
numeric-n1000-p1024,numeric,1000,1024,1024,load,deferred_minus_direct,direct_load,deferred_load,8.115384615384615,7.899999999999999,-0.2153846153846164,-2.6540284360189736,7.846153846153847,8.5,7.6,8.666666666666666
numeric-n1000-p1024,numeric,1000,1024,1024,load,deferred_minus_current,current_load,deferred_load,15.5,7.899999999999999,-7.600000000000001,-49.03225806451614,14.857142857142858,16.857142857142854,7.6,8.666666666666666
numeric-n1000-p1024,numeric,1000,1024,1024,fraction,direct_minus_current,current_fraction,direct_fraction,19.5,11.722222222222221,-7.777777777777779,-39.886039886039896,18.666666666666668,21.833333333333332,11.222222222222223,13.444444444444445
numeric-n1000-p1024,numeric,1000,1024,1024,fraction,deferred_minus_direct,direct_fraction,deferred_fraction,11.722222222222221,12.222222222222223,0.5000000000000018,4.2654028436019065,11.222222222222223,13.444444444444445,11.666666666666666,13.777777777777779
numeric-n1000-p1024,numeric,1000,1024,1024,fraction,deferred_minus_current,current_fraction,deferred_fraction,19.5,12.222222222222223,-7.277777777777777,-37.32193732193731,18.666666666666668,21.833333333333332,11.666666666666666,13.777777777777779
numeric-n1000-p1024,numeric,1000,1024,52,known5_fraction,direct_minus_current,current_known5_fraction,direct_known5_fraction,4.8125,4.328125,-0.484375,-10.064935064935066,4.75,5.28125,4.21875,4.9375
numeric-n1000-p1024,numeric,1000,1024,52,known5_fraction,deferred_minus_direct,direct_known5_fraction,deferred_known5_fraction,4.328125,4.640625,0.3125,7.2202166064981865,4.21875,4.9375,4.40625,5.09375
numeric-n1000-p1024,numeric,1000,1024,52,known5_fraction,deferred_minus_current,current_known5_fraction,deferred_known5_fraction,4.8125,4.640625,-0.171875,-3.57142857142857,4.75,5.28125,4.40625,5.09375
numeric-n1000-p1024,numeric,1000,1024,1024,all,direct_minus_current,current_all,direct_all,18.666666666666668,11.149999999999999,-7.516666666666669,-40.26785714285715,18.166666666666668,20.666666666666668,11.0,12.1
numeric-n1000-p1024,numeric,1000,1024,1024,all,deferred_minus_direct,direct_all,deferred_all,11.149999999999999,17.642857142857142,6.492857142857144,58.23190262652147,11.0,12.1,16.857142857142854,19.142857142857146
numeric-n1000-p1024,numeric,1000,1024,1024,all,deferred_minus_current,current_all,deferred_all,18.666666666666668,17.642857142857142,-1.0238095238095255,-5.484693877551027,18.166666666666668,20.666666666666668,16.857142857142854,19.142857142857146
numeric-n1000-p1024,numeric,1000,1024,1024,datasig,direct_minus_current,current_datasig,direct_datasig,88.5,81.0,-7.5,-8.47457627118644,87.0,94.0,78.5,88.5
numeric-n1000-p1024,numeric,1000,1024,1024,datasig,deferred_minus_direct,direct_datasig,deferred_datasig,81.0,85.75,4.75,5.864197530864201,78.5,88.5,83.5,95.0
numeric-n1000-p1024,numeric,1000,1024,1024,datasig,deferred_minus_current,current_datasig,deferred_datasig,88.5,85.75,-2.75,-3.1073446327683607,87.0,94.0,83.5,95.0
numeric-n1000-p1024,numeric,1000,1024,1024,load,deferred_direct_minus_deferred_current,deferred_current_load,deferred_load,16.625,7.899999999999999,-8.725000000000001,-52.48120300751881,15.5,17.75,7.6,8.666666666666666
numeric-n1000-p1024,numeric,1000,1024,1024,load,private_eager_minus_baseline_direct,direct_load,private_eager_load,8.115384615384615,7.846153846153847,-0.2692307692307683,-3.3175355450236865,7.846153846153847,8.5,7.6923076923076925,8.692307692307692
numeric-n1000-p1024,numeric,1000,1024,1024,load,serial_minus_auto_direct,direct_load,serial_direct_load,8.115384615384615,9.545454545454543,1.4300699300699282,17.621714778112853,7.846153846153847,8.5,9.181818181818182,10.363636363636365
numeric-n1000-p1024,numeric,1000,1024,1024,all,private_eager_minus_baseline_direct,direct_all,private_eager_all,11.149999999999999,11.2,0.05000000000000071,0.4484304932735439,11.0,12.1,11.0,12.3
numeric-n1000-p1024,numeric,1000,1024,1024,all,serial_minus_auto_direct,direct_all,serial_direct_all,11.149999999999999,12.6875,1.5375000000000014,13.789237668161448,11.0,12.1,12.375000000000012,14.25
numeric-n1000-p128,numeric,1000,128,128,load,direct_minus_current,current_load,direct_load,2.40625,1.3625,-1.04375,-43.37662337662338,2.3541666666666665,2.625,1.35,1.4874999999999998
