case,variant,phase,observations,captured_observation_bytes_min,captured_observation_bytes_max,retained_observation_bytes_min,retained_observation_bytes_max,captured_observation_capacity_min,captured_observation_capacity_max,retained_observation_capacity_min,retained_observation_capacity_max,handles_created_min,handles_created_max,live_handles_min,live_handles_max,force_attempts_min,force_attempts_max,full_decode_completions_min,full_decode_completions_max,completed_decode_cells_min,completed_decode_cells_max,cache_publications_min,cache_publications_max,reused_handles_min,reused_handles_max,duplicate_handles_min,duplicate_handles_max,dataptr_handles_min,dataptr_handles_max,pointer_materializations_min,pointer_materializations_max,source_columns_with_attempts_min,source_columns_with_attempts_max,max_source_column_completions_min,max_source_column_completions_max
numeric-n1000-p1024,direct,all_columns_summary,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,7494.0,7494.0,2928.0,4358.0,1330.0,1330.0,1330.0,1330.0,1330000.0,1330000.0,1330.0,1330.0,7.0,7.0,6470.0,6470.0,308.0,308.0,0.0,0.0,1024.0,1024.0,3.0,3.0
numeric-n1000-p1024,direct,column_handle,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4096.0,4096.0,4096.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
numeric-n1000-p1024,direct,column_summary,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4099.0,4099.0,4099.0,4099.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,3075.0,3075.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
numeric-n1000-p1024,direct,expanded_fraction_workflow,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4422.0,4422.0,1280.0,1347.0,307.0,307.0,307.0,307.0,307000.0,307000.0,307.0,307.0,7.0,7.0,3398.0,3398.0,308.0,308.0,0.0,0.0,256.0,256.0,2.0,2.0
numeric-n1000-p1024,direct,first_value_same_handle,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4096.0,4096.0,4096.0,4096.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
numeric-n1000-p1024,direct,fraction_workflow,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4160.0,4160.0,1085.0,4160.0,52.0,52.0,52.0,52.0,52000.0,52000.0,52.0,52.0,4.0,4.0,3136.0,3136.0,52.0,52.0,0.0,0.0,52.0,52.0,1.0,1.0
numeric-n1000-p1024,direct,load,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4096.0,4096.0,4096.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
numeric-n1000-p1024,direct,repeat_column_summary,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4102.0,4102.0,1027.0,4102.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,3078.0,3078.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
numeric-n1000-p1024,direct,repeat_value_new_extraction,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4096.0,4096.0,4096.0,4096.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
numeric-n1000-p1024,direct,repeat_value_same_handle,7,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,8192000.0,4096.0,4096.0,4096.0,4096.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
