case,decoder,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
numeric-n1000-p8,baseline,current,load,allocation,1,500816,,,,,
numeric-n1000-p8,baseline,current,load,retained,1,,740616,597024,42690,42631,130416640
numeric-n1000-p8,baseline,current,load,retained,2,,740616,597024,42690,42631,130351104
numeric-n1000-p8,baseline,current,load,retained,3,,740616,597024,42690,42631,130433024
numeric-n1000-p8,baseline,current,first_value,allocation,1,500816,,,,,
numeric-n1000-p8,baseline,current,first_value,retained,1,,784616,640952,45198,45130,130334720
numeric-n1000-p8,baseline,current,first_value,retained,2,,784616,640952,45198,45130,132218880
numeric-n1000-p8,baseline,current,first_value,retained,3,,784616,640952,45198,45130,130301952
numeric-n1000-p8,baseline,current,fraction,allocation,1,877872,,,,,
numeric-n1000-p8,baseline,current,fraction,retained,1,,994552,810944,54666,54604,130727936
numeric-n1000-p8,baseline,current,fraction,retained,2,,994552,810944,54666,54604,130678784
numeric-n1000-p8,baseline,current,fraction,retained,3,,994552,810944,54666,54604,130613248
numeric-n1000-p8,baseline,current,known5_fraction,allocation,1,771816,,,,,
numeric-n1000-p8,baseline,current,known5_fraction,retained,1,,1230208,1103024,74731,74732,131448832
numeric-n1000-p8,baseline,current,known5_fraction,retained,2,,1230208,1103024,74731,74732,131547136
numeric-n1000-p8,baseline,current,known5_fraction,retained,3,,1230208,1103024,74731,74732,131383296
numeric-n1000-p8,baseline,current,all,allocation,1,500816,,,,,
numeric-n1000-p8,baseline,current,all,retained,1,,742272,598616,42735,42674,130220032
numeric-n1000-p8,baseline,current,all,retained,2,,742272,598616,42735,42674,130416640
numeric-n1000-p8,baseline,current,all,retained,3,,742272,598616,42735,42674,130220032
numeric-n1000-p8,baseline,current,datasig,allocation,1,485616,,,,,
numeric-n1000-p8,baseline,current,datasig,retained,1,,951248,807624,54113,54052,131596288
numeric-n1000-p8,baseline,current,datasig,retained,2,,951248,807624,54113,54052,131137536
numeric-n1000-p8,baseline,current,datasig,retained,3,,951248,807624,54113,54052,131104768
numeric-n1000-p8,baseline,direct,load,allocation,1,500816,,,,,
numeric-n1000-p8,baseline,direct,load,retained,1,,629688,487832,36629,36669,130301952
numeric-n1000-p8,baseline,direct,load,retained,2,,629688,487832,36629,36669,130301952
numeric-n1000-p8,baseline,direct,load,retained,3,,629688,487832,36629,36669,130121728
numeric-n1000-p8,baseline,direct,first_value,allocation,1,500816,,,,,
numeric-n1000-p8,baseline,direct,first_value,retained,1,,678336,534672,39405,39337,130351104
numeric-n1000-p8,baseline,direct,first_value,retained,2,,678336,534672,39405,39337,130351104
numeric-n1000-p8,baseline,direct,first_value,retained,3,,678336,534672,39405,39337,130203648
numeric-n1000-p8,baseline,direct,fraction,allocation,1,877872,,,,,
