case,scenario,Rprofmem_bytes_snapshot_median,Rprofmem_bytes_baseline_direct_median,Rprofmem_bytes_signed_delta,retained_vector_delta_bytes_snapshot_median,retained_vector_delta_bytes_baseline_direct_median,retained_vector_delta_bytes_signed_delta,released_vector_delta_bytes_snapshot_median,released_vector_delta_bytes_baseline_direct_median,released_vector_delta_bytes_signed_delta,retained_header_delta_cells_snapshot_median,retained_header_delta_cells_baseline_direct_median,retained_header_delta_cells_signed_delta,released_header_delta_cells_snapshot_median,released_header_delta_cells_baseline_direct_median,released_header_delta_cells_signed_delta,peak_RSS_bytes_snapshot_median,peak_RSS_bytes_baseline_direct_median,peak_RSS_bytes_signed_delta
numeric-n1000-p1024,all,8808728.0,8809312.0,-584.0,1023464.0,8904752.0,-7881288.0,543488.0,494920.0,48568.0,76897.0,51330.0,25567.0,41108.0,37045.0,4063.0,148897792.0,147505152.0,1392640.0
numeric-n1000-p1024,datasig,9066992.0,9067576.0,-584.0,9223952.0,9099288.0,124664.0,765864.0,698544.0,67320.0,76538.0,62340.0,14198.0,53093.0,48111.0,4982.0,161366016.0,160677888.0,688128.0
numeric-n1000-p1024,first_value,567384.0,8801072.0,-8233688.0,915728.0,8936384.0,-8020656.0,583240.0,534672.0,48568.0,66921.0,53629.0,13292.0,43401.0,39337.0,4064.0,140017664.0,147406848.0,-7389184.0
numeric-n1000-p1024,fraction,1737688.0,9544832.0,-7807144.0,1189496.0,9215128.0,-8025632.0,821552.0,772656.0,48896.0,80249.0,66714.0,13535.0,56515.0,52428.0,4087.0,141295616.0,148455424.0,-7159808.0
numeric-n1000-p1024,known5_fraction,1748768.0,1733256.0,15512.0,1202048.0,1607768.0,-405720.0,1067320.0,1065648.0,1672.0,76188.0,75315.0,873.0,74826.0,74653.0,173.0,141787136.0,141344768.0,442368.0
numeric-n1000-p1024,load,559336.0,8801072.0,-8241736.0,858992.0,8887736.0,-8028744.0,536400.0,487832.0,48568.0,64135.0,50853.0,13282.0,40735.0,36669.0,4066.0,139837440.0,147603456.0,-7766016.0
numeric-n1000-p8,all,500232.0,500816.0,-584.0,576424.0,638576.0,-62152.0,494720.0,494920.0,-200.0,37273.0,37106.0,167.0,37044.0,37045.0,-1.0,130760704.0,130154496.0,606208.0
numeric-n1000-p8,datasig,485032.0,485616.0,-584.0,861432.0,841280.0,20152.0,717096.0,698544.0,18552.0,49205.0,48119.0,1086.0,49029.0,48111.0,918.0,131776512.0,131186688.0,589824.0
numeric-n1000-p8,first_value,443896.0,500816.0,-56920.0,623120.0,678336.0,-55216.0,534472.0,534672.0,-200.0,39489.0,39405.0,84.0,39337.0,39337.0,0.0,130760704.0,130351104.0,409600.0
numeric-n1000-p8,fraction,837048.0,877872.0,-40824.0,892824.0,955464.0,-62640.0,771984.0,771856.0,128.0,52600.0,52477.0,123.0,52438.0,52415.0,23.0,131088384.0,130613248.0,475136.0
