case,decoder,variant,scenario,Rprofmem_bytes_n,Rprofmem_bytes_median,Rprofmem_bytes_minimum,Rprofmem_bytes_maximum,retained_vector_delta_bytes_n,retained_vector_delta_bytes_median,retained_vector_delta_bytes_minimum,retained_vector_delta_bytes_maximum,released_vector_delta_bytes_n,released_vector_delta_bytes_median,released_vector_delta_bytes_minimum,released_vector_delta_bytes_maximum,retained_header_delta_cells_n,retained_header_delta_cells_median,retained_header_delta_cells_minimum,retained_header_delta_cells_maximum,released_header_delta_cells_n,released_header_delta_cells_median,released_header_delta_cells_minimum,released_header_delta_cells_maximum,peak_RSS_bytes_n,peak_RSS_bytes_median,peak_RSS_bytes_minimum,peak_RSS_bytes_maximum
numeric-n1000-p1024,baseline,current,all,1,8924712,8924712,8924712,3,9008408,9008408,9008408,3,598616,598616,598616,3,56956,56956,56956,3,42674,42674,42674,3,148946944,148914176,148996096
numeric-n1000-p1024,baseline,current,datasig,1,9182976,9182976,9182976,3,9209256,9209256,9209256,3,807624,807624,807624,3,68334,68334,68334,3,54052,54052,54052,3,161005568,160612352,162283520
numeric-n1000-p1024,baseline,current,first_value,1,8916472,8916472,8916472,3,9042624,9042624,9042624,3,640952,640952,640952,3,59419,59419,59419,3,45130,45130,45130,3,149045248,149028864,151683072
numeric-n1000-p1024,baseline,current,fraction,1,9660232,9660232,9660232,3,9254176,9254176,9254176,3,811744,811744,811744,3,68900,68900,68900,3,54617,54617,54617,3,149585920,149405696,150437888
numeric-n1000-p1024,baseline,current,known5_fraction,1,1741472,1741472,1741472,3,1645944,1645944,1645944,3,1103824,1103824,1103824,3,77439,77420,77439,3,76777,76758,76777,3,141049856,140918784,141049856
numeric-n1000-p1024,baseline,current,load,1,8916472,8916472,8916472,3,8998664,8998664,8998664,3,597024,597024,597024,3,56914,56914,56914,3,42631,42631,42631,3,148652032,148635648,148815872
numeric-n1000-p1024,baseline,direct,all,1,8809312,8809312,8809312,3,8904752,8904752,8904752,3,494920,494920,494920,3,51330,51330,51330,3,37045,37045,37045,3,147505152,147193856,148832256
numeric-n1000-p1024,baseline,direct,datasig,1,9067576,9067576,9067576,3,9099288,9099288,9099288,3,698544,698544,698544,3,62340,62340,62340,3,48111,48111,48111,3,160677888,160677888,163315712
numeric-n1000-p1024,baseline,direct,first_value,1,8801072,8801072,8801072,3,8936384,8936384,8936384,3,534672,534672,534672,3,53629,53629,53629,3,39337,39337,39337,3,147406848,147144704,147587072
numeric-n1000-p1024,baseline,direct,fraction,1,9544832,9544832,9544832,3,9215128,9215128,9215128,3,772656,772656,772656,3,66714,66714,66714,3,52428,52428,52428,3,148455424,148439040,148455424
numeric-n1000-p1024,baseline,direct,known5_fraction,1,1733256,1733256,1733256,3,1607768,1607768,1607768,3,1065648,1065648,1065648,3,75315,75315,75315,3,74653,74653,74653,3,141344768,140869632,141770752
numeric-n1000-p1024,baseline,direct,load,1,8801072,8801072,8801072,3,8887736,8887736,8887736,3,487832,487832,487832,3,50853,50853,50853,3,36669,36669,36669,3,147603456,147472384,147800064
numeric-n1000-p1024,numeric_snapshot,direct,all,1,8808728,8808728,8808728,3,1023464,1023464,1023464,3,543488,543488,543488,3,76897,76897,76897,3,41108,41108,41108,3,148897792,148799488,148979712
numeric-n1000-p1024,numeric_snapshot,direct,datasig,1,9066992,9066992,9066992,3,9223952,9223952,9223952,3,765864,765864,765864,3,76538,76538,76538,3,53093,53093,53093,3,161366016,161349632,161595392
numeric-n1000-p1024,numeric_snapshot,direct,first_value,1,567384,567384,567384,3,915728,915728,915728,3,583240,583240,583240,3,66921,66921,66921,3,43401,43401,43401,3,140017664,139771904,140050432
numeric-n1000-p1024,numeric_snapshot,direct,fraction,1,1737688,1737688,1737688,3,1189496,1189496,1189496,3,821552,821552,821552,3,80249,80249,80249,3,56515,56515,56515,3,141295616,141262848,141295616
numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,1,1748768,1748768,1748768,3,1202048,1202048,1202048,3,1067320,1067320,1067320,3,76188,76188,76188,3,74826,74826,74826,3,141787136,141639680,142098432
numeric-n1000-p1024,numeric_snapshot,direct,load,1,559336,559336,559336,3,858992,858992,858992,3,536400,536400,536400,3,64135,64135,64135,3,40735,40735,40735,3,139837440,139771904,139968512
numeric-n1000-p8,baseline,current,all,1,500816,500816,500816,3,742272,742272,742272,3,598616,598616,598616,3,42735,42735,42735,3,42674,42674,42674,3,130220032,130220032,130416640
numeric-n1000-p8,baseline,current,datasig,1,485616,485616,485616,3,951248,951248,951248,3,807624,807624,807624,3,54113,54113,54113,3,54052,54052,54052,3,131137536,131104768,131596288
numeric-n1000-p8,baseline,current,first_value,1,500816,500816,500816,3,784616,784616,784616,3,640952,640952,640952,3,45198,45198,45198,3,45130,45130,45130,3,130334720,130301952,132218880
numeric-n1000-p8,baseline,current,fraction,1,877872,877872,877872,3,994552,994552,994552,3,810944,810944,810944,3,54666,54666,54666,3,54604,54604,54604,3,130678784,130613248,130727936
numeric-n1000-p8,baseline,current,known5_fraction,1,771816,771816,771816,3,1230208,1230208,1230208,3,1103024,1103024,1103024,3,74731,74731,74731,3,74732,74732,74732,3,131448832,131383296,131547136
numeric-n1000-p8,baseline,current,load,1,500816,500816,500816,3,740616,740616,740616,3,597024,597024,597024,3,42690,42690,42690,3,42631,42631,42631,3,130416640,130351104,130433024
numeric-n1000-p8,baseline,direct,all,1,500816,500816,500816,3,638576,638576,638576,3,494920,494920,494920,3,37106,37106,37106,3,37045,37045,37045,3,130154496,130138112,130269184
numeric-n1000-p8,baseline,direct,datasig,1,485616,485616,485616,3,841280,841280,841280,3,698544,698544,698544,3,48119,48119,48119,3,48111,48111,48111,3,131186688,131104768,131203072
numeric-n1000-p8,baseline,direct,first_value,1,500816,500816,500816,3,678336,678336,678336,3,534672,534672,534672,3,39405,39405,39405,3,39337,39337,39337,3,130351104,130203648,130351104
numeric-n1000-p8,baseline,direct,fraction,1,877872,877872,877872,3,955464,955464,955464,3,771856,771856,771856,3,52477,52477,52477,3,52415,52415,52415,3,130613248,130580480,130662400
numeric-n1000-p8,baseline,direct,known5_fraction,1,771816,771816,771816,3,1192032,1192032,1192032,3,1064848,1064848,1064848,3,72607,72607,72607,3,72608,72608,72608,3,131268608,131104768,132759552
numeric-n1000-p8,baseline,direct,load,1,500816,500816,500816,3,629688,629688,629688,3,487832,487832,487832,3,36629,36629,36629,3,36669,36669,36669,3,130301952,130121728,130301952
numeric-n1000-p8,numeric_snapshot,direct,all,1,500232,500232,500232,3,576424,576424,576424,3,494720,494720,494720,3,37273,37273,37273,3,37044,37044,37044,3,130760704,130695168,132562944
numeric-n1000-p8,numeric_snapshot,direct,datasig,1,485032,485032,485032,3,861432,861432,861432,3,717096,717096,717096,3,49205,49205,49205,3,49029,49029,49029,3,131776512,131612672,131842048
numeric-n1000-p8,numeric_snapshot,direct,first_value,1,443896,443896,443896,3,623120,623120,623120,3,534472,534472,534472,3,39489,39489,39489,3,39337,39337,39337,3,130760704,130662400,130859008
numeric-n1000-p8,numeric_snapshot,direct,fraction,1,837048,837048,837048,3,892824,892824,892824,3,771984,771984,771984,3,52600,52600,52600,3,52438,52438,52438,3,131088384,131039232,132268032
numeric-n1000-p8,numeric_snapshot,direct,known5_fraction,1,787328,787328,787328,3,1183704,1183704,1183704,3,1064072,1064072,1064072,3,72613,72613,72613,3,72577,72577,72577,3,131776512,131727360,131809280
numeric-n1000-p8,numeric_snapshot,direct,load,1,435848,435848,435848,3,566384,566384,566384,3,487632,487632,487632,3,36703,36703,36703,3,36671,36671,36671,3,130891776,130793472,131776512
numeric-n10000-p128,baseline,current,all,1,10714520,10714520,10714520,3,10934592,10934592,10934592,3,598616,598616,598616,3,44415,44415,44415,3,42674,42674,42674,3,149880832,149880832,150077440
numeric-n10000-p128,baseline,current,datasig,1,10732656,10732656,10732656,3,11142608,11142608,11142608,3,807624,807624,807624,3,55793,55793,55793,3,54052,54052,54052,3,162004992,161562624,164528128
numeric-n10000-p128,baseline,current,first_value,1,10713448,10713448,10713448,3,10975976,10975976,10975976,3,640952,640952,640952,3,46878,46878,46878,3,45130,45130,45130,3,149979136,149831680,150011904
numeric-n10000-p128,baseline,current,fraction,1,11768208,11768208,11768208,3,11186816,11186816,11186816,3,811744,811744,811744,3,56359,56359,56359,3,54617,54617,54617,3,151322624,151240704,151339008
numeric-n10000-p128,baseline,current,known5_fraction,1,2025768,2025768,2025768,3,1783832,1783832,1783832,3,1103824,1103824,1103824,3,75062,75062,75062,3,74985,74985,74985,3,140673024,140640256,142950400
numeric-n10000-p128,baseline,current,load,1,10713448,10713448,10713448,3,10931976,10931976,10931976,3,597024,597024,597024,3,44370,44370,44370,3,42631,42631,42631,3,150028288,149897216,152338432
numeric-n10000-p128,baseline,direct,all,1,10699616,10699616,10699616,3,10830896,10830896,10830896,3,494920,494920,494920,3,38786,38786,38786,3,37045,37045,37045,3,149929984,149848064,150880256
numeric-n10000-p128,baseline,direct,datasig,1,10717752,10717752,10717752,3,11032640,11032640,11032640,3,698544,698544,698544,3,49799,49799,49799,3,48111,48111,48111,3,161382400,161284096,161447936
numeric-n10000-p128,baseline,direct,first_value,1,10698544,10698544,10698544,3,10869696,10869696,10869696,3,534672,534672,534672,3,41085,41085,41085,3,39337,39337,39337,3,149798912,149733376,149848064
numeric-n10000-p128,baseline,direct,fraction,1,11753304,11753304,11753304,3,11147728,11147728,11147728,3,772656,772656,772656,3,54170,54170,54170,3,52428,52428,52428,3,151027712,150978560,152207360
numeric-n10000-p128,baseline,direct,known5_fraction,1,2025768,2025768,2025768,3,1745656,1745656,1745656,3,1065648,1065648,1065648,3,72938,72938,72938,3,72861,72861,72861,3,140492800,140443648,140558336
numeric-n10000-p128,baseline,direct,load,1,10698544,10698544,10698544,3,10821048,10821048,10821048,3,487832,487832,487832,3,38309,38309,38309,3,36669,36669,36669,3,149897216,149848064,152158208
numeric-n10000-p128,numeric_snapshot,direct,all,1,10699032,10699032,10699032,3,629224,629224,629224,3,500480,500480,500480,3,41953,41932,41953,3,37524,37503,37524,3,150208512,150093824,150274048
numeric-n10000-p128,numeric_snapshot,direct,datasig,1,10717168,10717168,10717168,3,11082552,11082552,11082552,3,722856,722856,722856,3,53885,53885,53885,3,49509,49509,49509,3,163774464,163397632,164364288
numeric-n10000-p128,numeric_snapshot,direct,first_value,1,531864,531864,531864,3,729680,729680,729680,3,540232,540232,540232,3,42729,42729,42729,3,39817,39817,39817,3,139837440,139821056,142196736
numeric-n10000-p128,numeric_snapshot,direct,fraction,1,2227008,2227008,2227008,3,928576,928576,928576,3,778544,778544,778544,3,55877,55877,55877,3,52931,52931,52931,3,141852672,141819904,142049280
numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,1,2185280,2185280,2185280,3,1186576,1186576,1186576,3,1065160,1065160,1065160,3,73046,73046,73046,3,72854,72854,72854,3,142999552,142999552,146292736
numeric-n10000-p128,numeric_snapshot,direct,load,1,451816,451816,451816,3,600944,600944,600944,3,493392,493392,493392,3,39943,39943,39943,3,37151,37151,37151,3,139755520,139657216,139853824
pure-numeric-n1000-p1024,baseline,current,all,1,4619712,4619712,4619712,3,4710192,4710192,4710192,3,2886624,2886624,2886624,3,57818,57818,57818,3,45990,45990,45990,3,139739136,139722752,139755520
pure-numeric-n1000-p1024,baseline,current,datasig,1,4877976,4877976,4877976,3,4911512,4911512,4911512,3,3096152,3096152,3096152,3,69222,69222,69222,3,57400,57400,57400,3,144588800,144392192,146440192
pure-numeric-n1000-p1024,baseline,current,first_value,1,4611472,4611472,4611472,3,4737024,4737024,4737024,3,2921624,2921624,2921624,3,59836,59836,59836,3,48005,48005,48005,3,140460032,140115968,141017088
pure-numeric-n1000-p1024,baseline,current,fraction,1,5238672,5238672,5238672,3,5014576,5014576,5014576,3,3100016,3100016,3100016,3,69947,69947,69947,3,57946,57946,57946,3,140148736,140132352,140967936
pure-numeric-n1000-p1024,baseline,current,known5_fraction,1,1401912,1401912,1401912,3,1482096,1482096,1482096,3,1218976,1218976,1218976,3,77705,77705,77705,3,76994,76994,76994,3,136347648,136298496,136511488
pure-numeric-n1000-p1024,baseline,current,load,1,4611472,4611472,4611472,3,4700448,4700448,4700448,3,2885032,2885032,2885032,3,57776,57776,57776,3,45947,45947,45947,3,139608064,139427840,139919360
pure-numeric-n1000-p1024,baseline,direct,all,1,4504312,4504312,4504312,3,4606392,4606392,4606392,3,2782784,2782784,2782784,3,52168,52168,52168,3,40337,40337,40337,3,139083776,138412032,140165120
pure-numeric-n1000-p1024,baseline,direct,datasig,1,4762576,4762576,4762576,3,4801464,4801464,4801464,3,2986992,2986992,2986992,3,63216,63216,63216,3,51447,51447,51447,3,144834560,144572416,145047552
pure-numeric-n1000-p1024,baseline,direct,first_value,1,4496072,4496072,4496072,3,4630640,4630640,4630640,3,2815200,2815200,2815200,3,54022,54022,54022,3,42188,42188,42188,3,138772480,138444800,138887168
pure-numeric-n1000-p1024,baseline,direct,fraction,1,5123272,5123272,5123272,3,4975528,4975528,4975528,3,3060928,3060928,3060928,3,67761,67761,67761,3,55757,55757,55757,3,139411456,139395072,140083200
pure-numeric-n1000-p1024,baseline,direct,known5_fraction,1,1393696,1393696,1393696,3,1443920,1443920,1443920,3,1180800,1180800,1180800,3,75581,75581,75581,3,74870,74870,74870,3,136347648,136232960,137052160
pure-numeric-n1000-p1024,baseline,direct,load,1,4496072,4496072,4496072,3,4589376,4589376,4589376,3,2775696,2775696,2775696,3,51691,51691,51691,3,39961,39961,39961,3,138362880,138248192,138838016
pure-numeric-n1000-p1024,numeric_snapshot,direct,all,1,4503728,4503728,4503728,3,3344144,3344144,3344144,3,543552,543552,543552,3,83475,83475,83475,3,41120,41120,41120,3,140066816,139837440,140902400
pure-numeric-n1000-p1024,numeric_snapshot,direct,datasig,1,11361352,11361352,11361352,3,9230608,9230608,9230608,3,798792,798792,798792,3,77382,77382,77382,3,55577,55577,55577,3,154877952,154664960,155107328
pure-numeric-n1000-p1024,numeric_snapshot,direct,first_value,1,560384,560384,560384,3,934232,934232,934232,3,577008,577008,577008,3,69775,69775,69775,3,42976,42976,42976,3,135708672,135643136,135921664
