case,decoder,variant,phase,observations,median_ms,minimum_ms,maximum_ms
numeric-n1000-p8,baseline,current,empty_control,100,0.0,0.0,0.20299997413530899
numeric-n1000-p8,baseline,current,load,7,0.854000041726977,0.77800004510209,9.02600004337728
numeric-n1000-p8,baseline,current,column_handle,7,0.00800000270828605,0.00599998747929931,0.0540000037290156
numeric-n1000-p8,baseline,current,first_value_same_handle,7,0.083999999333173,0.0720000243745744,0.428999948780984
numeric-n1000-p8,baseline,current,repeat_value_same_handle,7,0.057999975979328204,0.050000031478703,0.063000014051795
numeric-n1000-p8,baseline,current,repeat_value_new_extraction,7,0.0599999912083149,0.0529999961145222,0.0640000216662884
numeric-n1000-p8,baseline,current,column_summary,7,0.00699999509379268,0.00600004568696022,0.023000000510364802
numeric-n1000-p8,baseline,current,repeat_column_summary,7,0.00499997986480594,0.00499997986480594,0.6520000169985
numeric-n1000-p8,baseline,current,fraction_workflow,7,0.996000017039478,0.9169999975711111,2.5740000419318703
numeric-n1000-p8,baseline,current,expanded_fraction_workflow,7,0.892999989446253,0.869999988935888,4.04700002400205
numeric-n1000-p8,baseline,current,all_columns_summary,7,0.0409999629482627,0.0369999906979501,0.0480000162497163
numeric-n1000-p8,baseline,direct,empty_control,100,0.0,0.0,0.196000037249178
numeric-n1000-p8,baseline,direct,load,7,0.594999990426004,0.554999976884574,8.41800001217052
numeric-n1000-p8,baseline,direct,column_handle,7,0.00900001032277942,0.00599998747929931,0.042000028770417
numeric-n1000-p8,baseline,direct,first_value_same_handle,7,0.0770000042393804,0.063000014051795,0.437999959103763
numeric-n1000-p8,baseline,direct,repeat_value_same_handle,7,0.0540000037290156,0.0480000162497163,0.0589999835938215
numeric-n1000-p8,baseline,direct,repeat_value_new_extraction,7,0.0569999683648348,0.0529999961145222,0.062000006437301594
numeric-n1000-p8,baseline,direct,column_summary,7,0.0109999673441052,0.00599998747929931,0.017000013031065502
numeric-n1000-p8,baseline,direct,repeat_column_summary,7,0.00500003807246685,0.00499997986480594,0.654999981634319
numeric-n1000-p8,baseline,direct,fraction_workflow,7,1.0040000197477599,0.893999997060746,2.99000000813976
numeric-n1000-p8,baseline,direct,expanded_fraction_workflow,7,0.861999986227602,0.851999968290329,3.9500000420957804
numeric-n1000-p8,baseline,direct,all_columns_summary,7,0.0360000412911177,0.03399996785447,0.0419999705627561
numeric-n1000-p8,numeric_snapshot,direct,empty_control,100,0.0,0.0,0.19699998665600998
numeric-n1000-p8,numeric_snapshot,direct,load,7,0.564999994821846,0.516000029165298,8.73499998124316
numeric-n1000-p8,numeric_snapshot,direct,column_handle,7,0.00800000270828605,0.00600004568696022,0.055000011343509
numeric-n1000-p8,numeric_snapshot,direct,first_value_same_handle,7,0.0880000297911465,0.07299997378140691,0.444999954197556
numeric-n1000-p8,numeric_snapshot,direct,repeat_value_same_handle,7,0.0540000037290156,0.0480000162497163,0.0659999786876142
numeric-n1000-p8,numeric_snapshot,direct,repeat_value_new_extraction,7,0.0529999961145222,0.0489999656565487,0.063000014051795
numeric-n1000-p8,numeric_snapshot,direct,column_summary,7,0.00900001032277942,0.00699999509379268,0.0240000081248581
numeric-n1000-p8,numeric_snapshot,direct,repeat_column_summary,7,0.00699999509379268,0.00599998747929931,0.658000004477799
numeric-n1000-p8,numeric_snapshot,direct,fraction_workflow,7,0.995000009424984,0.933000002987683,3.11900000087917
numeric-n1000-p8,numeric_snapshot,direct,expanded_fraction_workflow,7,0.948000000789762,0.925000000279397,4.16999997105449
numeric-n1000-p8,numeric_snapshot,direct,all_columns_summary,7,0.083999999333173,0.0789999612607062,0.101000012364239
pure-numeric-n1000-p8,numeric_snapshot,direct,empty_control,100,0.0,0.0,0.211000035051256
pure-numeric-n1000-p8,numeric_snapshot,direct,load,7,0.6150000263005501,0.552999961655587,9.46199998725206
pure-numeric-n1000-p8,numeric_snapshot,direct,column_handle,7,0.00800000270828605,0.00699999509379268,0.0439999857917428
pure-numeric-n1000-p8,numeric_snapshot,direct,first_value_same_handle,7,0.0789999612607062,0.0679999939166009,0.394000031519681
pure-numeric-n1000-p8,numeric_snapshot,direct,repeat_value_same_handle,7,0.0480000162497163,0.0439999857917428,0.0529999961145222
