case,family,rows,file_columns,loaded_columns,method,decoder,variant,scenario,threads,n,median_ms,minimum_ms,maximum_ms
numeric-n1000-p1024,numeric,1000,1024,1024,current_all,baseline,current,all,0,8,18.666666666666668,18.166666666666668,20.666666666666668
numeric-n1000-p1024,numeric,1000,1024,1024,current_datasig,baseline,current,datasig,0,8,88.5,87.0,94.0
numeric-n1000-p1024,numeric,1000,1024,1024,current_fraction,baseline,current,fraction,0,8,19.5,18.666666666666668,21.833333333333332
numeric-n1000-p1024,numeric,1000,1024,52,current_known5_fraction,baseline,current,known5_fraction,0,8,4.8125,4.75,5.28125
numeric-n1000-p1024,numeric,1000,1024,1024,current_load,baseline,current,load,0,8,15.5,14.857142857142858,16.857142857142854
numeric-n1000-p1024,numeric,1000,1024,1024,deferred_all,numeric_snapshot,direct,all,0,8,17.642857142857142,16.857142857142854,19.142857142857146
numeric-n1000-p1024,numeric,1000,1024,1024,deferred_current_load,numeric_snapshot,current,load,0,8,16.625,15.5,17.75
numeric-n1000-p1024,numeric,1000,1024,1024,deferred_datasig,numeric_snapshot,direct,datasig,0,8,85.75,83.5,95.0
numeric-n1000-p1024,numeric,1000,1024,1024,deferred_fraction,numeric_snapshot,direct,fraction,0,8,12.222222222222223,11.666666666666666,13.777777777777779
numeric-n1000-p1024,numeric,1000,1024,52,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,4.640625,4.40625,5.09375
numeric-n1000-p1024,numeric,1000,1024,1024,deferred_load,numeric_snapshot,direct,load,0,8,7.899999999999999,7.6,8.666666666666666
numeric-n1000-p1024,numeric,1000,1024,1024,direct_all,baseline,direct,all,0,8,11.149999999999999,11.0,12.1
numeric-n1000-p1024,numeric,1000,1024,1024,direct_datasig,baseline,direct,datasig,0,8,81.0,78.5,88.5
numeric-n1000-p1024,numeric,1000,1024,1024,direct_fraction,baseline,direct,fraction,0,8,11.722222222222221,11.222222222222223,13.444444444444445
numeric-n1000-p1024,numeric,1000,1024,52,direct_known5_fraction,baseline,direct,known5_fraction,0,8,4.328125,4.21875,4.9375
numeric-n1000-p1024,numeric,1000,1024,1024,direct_load,baseline,direct,load,0,8,8.115384615384615,7.846153846153847,8.5
numeric-n1000-p1024,numeric,1000,1024,1024,private_eager_all,eager_private,direct,all,0,8,11.2,11.0,12.3
numeric-n1000-p1024,numeric,1000,1024,1024,private_eager_load,eager_private,direct,load,0,8,7.846153846153847,7.6923076923076925,8.692307692307692
numeric-n1000-p1024,numeric,1000,1024,1024,serial_direct_all,baseline,direct,all,1,8,12.6875,12.375000000000012,14.25
numeric-n1000-p1024,numeric,1000,1024,1024,serial_direct_load,baseline,direct,load,1,8,9.545454545454543,9.181818181818182,10.363636363636365
numeric-n1000-p128,numeric,1000,128,128,current_all,baseline,current,all,0,8,3.1770833333333335,3.0833333333333335,3.3958333333333335
numeric-n1000-p128,numeric,1000,128,128,current_datasig,baseline,current,datasig,0,8,13.166666666666668,12.222222222222223,14.333333333333334
numeric-n1000-p128,numeric,1000,128,128,current_fraction,baseline,current,fraction,0,8,3.625,3.5625,4.09375
numeric-n1000-p128,numeric,1000,128,7,current_known5_fraction,baseline,current,known5_fraction,0,8,2.0625,2.015625,2.296875
numeric-n1000-p128,numeric,1000,128,128,current_load,baseline,current,load,0,8,2.40625,2.3541666666666665,2.625
numeric-n1000-p128,numeric,1000,128,128,deferred_all,numeric_snapshot,direct,all,0,8,2.5625,2.4791666666666665,2.8125000000000004
numeric-n1000-p128,numeric,1000,128,128,deferred_current_load,numeric_snapshot,current,load,0,8,2.3645833333333335,2.2916666666666665,2.5625
numeric-n1000-p128,numeric,1000,128,128,deferred_datasig,numeric_snapshot,direct,datasig,0,8,11.5,11.1,12.4
numeric-n1000-p128,numeric,1000,128,128,deferred_fraction,numeric_snapshot,direct,fraction,0,8,2.885416666666667,2.7708333333333335,3.2291666666666665
numeric-n1000-p128,numeric,1000,128,7,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,1.9375,1.890625,2.21875
numeric-n1000-p128,numeric,1000,128,128,deferred_load,numeric_snapshot,direct,load,0,8,1.2062500000000003,1.1624999999999999,1.3375
