case,method,observed_native_capture,observed_R_phase_wrappers,case_native_detail_policy,measured_samples,median_ms,min_ms,max_ms,empty_control_median_ms
01-numeric-n1000-p8-full,baseline,False,False,"enabled capture, cap 200000; reject incomplete traces",7,0.844000023789704,0.8009999874047941,0.93800004106015,0.00399997225031257
01-numeric-n1000-p8-full,disabled,False,False,"enabled capture, cap 200000; reject incomplete traces",7,0.826999952550977,0.7210000185295941,0.8900000248104329,0.00399997225031257
01-numeric-n1000-p8-full,enabled,True,False,"enabled capture, cap 200000; reject incomplete traces",7,0.830999983008951,0.8270000107586379,0.846999988425523,0.00399997225031257
01-numeric-n1000-p8-full,r_current,False,True,"enabled capture, cap 200000; reject incomplete traces",7,1.1240000021643899,1.11000001197681,1.30500004161149,0.00300002284348011
01-numeric-n1000-p8-full,r_direct,False,True,"enabled capture, cap 200000; reject incomplete traces",7,0.911000010091811,0.8900000248104329,0.93199999537319,0.00399997225031257
02-numeric-n10000-p128-full,baseline,False,False,"enabled capture, cap 200000; reject incomplete traces",7,3.80499998573214,3.36500001139939,5.57999999728054,0.00300002284348011
02-numeric-n10000-p128-full,disabled,False,False,"enabled capture, cap 200000; reject incomplete traces",7,3.54000000515953,3.37799999397248,4.07299998914823,0.00399997225031257
02-numeric-n10000-p128-full,enabled,True,False,"enabled capture, cap 200000; reject incomplete traces",7,3.87700001010671,3.81899997591972,3.9909999468363804,0.00300002284348011
02-numeric-n10000-p128-full,r_current,False,True,"enabled capture, cap 200000; reject incomplete traces",7,3.90699994750321,3.85800004005432,4.2939999839291,0.00399997225031257
02-numeric-n10000-p128-full,r_direct,False,True,"enabled capture, cap 200000; reject incomplete traces",7,3.24300001375377,2.77900003129616,3.39899997925386,0.00300002284348011
03-numeric-n1000-p1024-full,baseline,False,False,"enabled capture, cap 200000; reject incomplete traces",7,15.928000037092701,14.4519999739714,16.367000003811,0.00300002284348011
03-numeric-n1000-p1024-full,disabled,False,False,"enabled capture, cap 200000; reject incomplete traces",7,15.833000012207801,14.8589999880642,16.8050000211224,0.00300002284348011
03-numeric-n1000-p1024-full,enabled,True,False,"enabled capture, cap 200000; reject incomplete traces",7,16.0110000288114,15.6180000049062,16.507000022102098,0.00399997225031257
03-numeric-n1000-p1024-full,r_current,False,True,"enabled capture, cap 200000; reject incomplete traces",7,16.87099999981,14.981999993324301,17.2679999959655,0.00399997225031257
