case,method,phase,n,median_ms,minimum_ms,maximum_ms
01-numeric-n1000-p8-full,r_current,source_resolution,7,0.24600001052022002,0.23399997735396,0.280000036582351
01-numeric-n1000-p8-full,r_current,native_input_decode,7,0.131999957375228,0.120999990031123,0.155000016093254
01-numeric-n1000-p8-full,r_current,container_finalization,7,0.112999987322837,0.108000007458031,0.12600002810359
01-numeric-n1000-p8-full,r_current,metadata_attachment,7,0.0440000439994037,0.0419999705627561,0.046999950427562
01-numeric-n1000-p8-full,r_current,container_repair,7,0.00100000761449337,0.0,0.00100000761449337
01-numeric-n1000-p8-full,r_current,dibble_completion,7,0.199000001884997,0.197000044863671,0.211000035051256
01-numeric-n1000-p8-full,r_direct,source_resolution,7,0.239000015426427,0.233000027947128,0.247000018134713
01-numeric-n1000-p8-full,r_direct,native_input_decode,7,0.127999985124916,0.124000012874603,0.136999995447695
01-numeric-n1000-p8-full,r_direct,container_finalization,7,0.0429999781772494,0.0410000211559236,0.0460000010207295
01-numeric-n1000-p8-full,r_direct,metadata_attachment,7,0.0439999857917428,0.0429999781772494,0.0470000086352229
01-numeric-n1000-p8-full,r_direct,container_repair,7,0.00100000761449337,0.0,0.00100000761449337
01-numeric-n1000-p8-full,r_direct,dibble_completion,7,0.0590000418014824,0.057999975979328204,0.0609999988228083
02-numeric-n10000-p128-full,r_current,source_resolution,7,0.284000008832663,0.24999998277053198,0.297999999020249
02-numeric-n10000-p128-full,r_current,native_input_decode,7,1.39399996260181,1.3710000202991102,1.47799996193498
02-numeric-n10000-p128-full,r_current,container_finalization,7,0.453999964520335,0.429000006988645,0.508000026457012
02-numeric-n10000-p128-full,r_current,metadata_attachment,7,0.266999995801598,0.260000000707805,0.308999966364354
02-numeric-n10000-p128-full,r_current,container_repair,7,0.00100000761449337,0.0,0.00100000761449337
02-numeric-n10000-p128-full,r_current,dibble_completion,7,0.712000008206815,0.68600004306063,0.824999995529652
02-numeric-n10000-p128-full,r_direct,source_resolution,7,0.297999999020249,0.248000025749207,0.3290000022389
02-numeric-n10000-p128-full,r_direct,native_input_decode,7,1.62400002591312,1.36500003281981,1.7330000409856399
02-numeric-n10000-p128-full,r_direct,container_finalization,7,0.071000016760081,0.0480000162497163,0.0880000297911465
02-numeric-n10000-p128-full,r_direct,metadata_attachment,7,0.300999963656068,0.264000031165779,0.315000012051314
02-numeric-n10000-p128-full,r_direct,container_repair,7,0.0,0.0,0.00100000761449337
02-numeric-n10000-p128-full,r_direct,dibble_completion,7,0.0719999661669135,0.0609999988228083,0.0810000346973538
03-numeric-n1000-p1024-full,r_current,source_resolution,7,0.263000023551285,0.235999992582947,0.278000021353364
03-numeric-n1000-p1024-full,r_current,native_input_decode,7,2.54800001857802,2.27699999231845,2.9060000088065903
03-numeric-n1000-p1024-full,r_current,container_finalization,7,2.99200002336875,2.6189999771304397,3.04499996127561
03-numeric-n1000-p1024-full,r_current,metadata_attachment,7,2.21599999349564,1.96500000311062,2.2340000141411998
03-numeric-n1000-p1024-full,r_current,container_repair,7,0.00100000761449337,0.0,0.00100000761449337
03-numeric-n1000-p1024-full,r_current,dibble_completion,7,5.23599999723956,4.72799997078255,5.30299998354167
03-numeric-n1000-p1024-full,r_direct,source_resolution,7,0.23200002033263398,0.216000014916062,0.277000013738871
03-numeric-n1000-p1024-full,r_direct,native_input_decode,7,2.50999996205792,2.39300000248477,2.77199997799471
03-numeric-n1000-p1024-full,r_direct,container_finalization,7,0.0800000270828605,0.0660000368952751,0.0909999944269657
03-numeric-n1000-p1024-full,r_direct,metadata_attachment,7,2.15600000228733,1.89800001680851,2.27699999231845
03-numeric-n1000-p1024-full,r_direct,container_repair,7,0.00100000761449337,0.00100000761449337,0.00100000761449337
03-numeric-n1000-p1024-full,r_direct,dibble_completion,7,0.088999979197979,0.0790000194683671,0.0930000096559525
04-numeric-n1000-p1024-known5,r_current,source_resolution,7,0.227999989874661,0.220999994780868,0.239000015426427
04-numeric-n1000-p1024-known5,r_current,projection_schema,7,0.28700003167614296,0.284000008832663,0.31999999191612
04-numeric-n1000-p1024-known5,r_current,native_input_decode,7,0.738999980967492,0.728000013623387,0.748999998904765
04-numeric-n1000-p1024-known5,r_current,container_finalization,7,0.20900001982227,0.207000004593283,0.222000002395362
04-numeric-n1000-p1024-known5,r_current,metadata_attachment,7,0.120999990031123,0.120000040624291,0.121999997645617
04-numeric-n1000-p1024-known5,r_current,container_repair,7,0.00100000761449337,0.0,0.00100000761449337
04-numeric-n1000-p1024-known5,r_current,dibble_completion,7,0.363999977707863,0.358000048436224,0.394999980926514
04-numeric-n1000-p1024-known5,r_direct,source_resolution,7,0.266000046394765,0.236000050790608,0.291000003926456
04-numeric-n1000-p1024-known5,r_direct,projection_schema,7,0.315000012051314,0.28600002406165,0.342999992426485
04-numeric-n1000-p1024-known5,r_direct,native_input_decode,7,0.751000014133751,0.718000053893775,0.844000023789704
04-numeric-n1000-p1024-known5,r_direct,container_finalization,7,0.050000031478703,0.0379999983124435,0.054999953135848
04-numeric-n1000-p1024-known5,r_direct,metadata_attachment,7,0.12900005094707,0.117000017780811,0.157000031322241
04-numeric-n1000-p1024-known5,r_direct,container_repair,7,0.00100000761449337,0.0,0.00100000761449337
04-numeric-n1000-p1024-known5,r_direct,dibble_completion,7,0.0650000292807817,0.0519999885000288,0.071000016760081
05-mixed-n1000-p8-full,r_current,source_resolution,7,0.24299998767674,0.211000035051256,0.253000005614012
05-mixed-n1000-p8-full,r_current,native_input_decode,7,0.13500003842636898,0.126999977510422,0.149000028613955
05-mixed-n1000-p8-full,r_current,container_finalization,7,0.101000012364239,0.0950000248849392,0.11399999493733
