case,scenario,current_ms,direct_ms,direct_minus_current_ms,direct_minus_current_percent
numeric-n1000-p8,fraction,1.2232142857142858,1.0763888888888888,-0.14682539682539697,-12.003244120032452
numeric-n1000-p8,known5_fraction,1.2734375,1.154296875,-0.119140625,-9.355828220858896
numeric-n1000-p8,all,0.51171875,0.3515625,-0.16015625,-31.29770992366412
numeric-n1000-p8,datasig,1.15234375,0.9875,-0.16484374999999996,-14.30508474576271
numeric-n10000-p128,fraction,4.890625,3.8229166666666665,-1.0677083333333335,-21.831735889243873
numeric-n10000-p128,known5_fraction,2.3828125,2.20703125,-0.17578125,-7.377049180327866
numeric-n10000-p128,all,5.234374999999999,4.166666666666667,-1.0677083333333321,-20.398009950248742
numeric-n10000-p128,datasig,13.875,12.769230769230768,-1.1057692307692317,-7.969507969507972
mixed-n10000-p128,fraction,6.296875,5.125,-1.171875,-18.610421836228287
mixed-n10000-p128,known5_fraction,2.984375,2.8203125,-0.1640625,-5.497382198952883
mixed-n10000-p128,all,8.078125,6.828125,-1.25,-15.473887814313347
mixed-n10000-p128,datasig,14.090909090909092,12.75,-1.3409090909090917,-9.51612903225807
short_low-n10000-p128,fraction,11.3125,9.3,-2.0124999999999993,-17.790055248618774
short_low-n10000-p128,known5_fraction,7.140625,7.015625,-0.125,-1.7505470459518557
short_low-n10000-p128,all,19.75,18.125,-1.625,-8.227848101265822
short_low-n10000-p128,datasig,18.5625,16.666666666666668,-1.8958333333333321,-10.213243546576878
short_high-n10000-p128,fraction,40.49999999999999,40.99999999999999,0.5,1.2345679012345734
short_high-n10000-p128,known5_fraction,18.388888888888893,18.05,-0.3388888888888921,-1.842900302114825
short_high-n10000-p128,all,62.83333333333332,58.666666666666664,-4.166666666666657,-6.631299734747998
short_high-n10000-p128,datasig,39.800000000000004,40.0,0.19999999999999574,0.5025125628140614
numeric-n1000-p1024,fraction,18.88888888888889,11.535714285714285,-7.353174603174605,-38.92857142857144
numeric-n1000-p1024,known5_fraction,4.770833333333334,4.09375,-0.6770833333333339,-14.192139737991273
numeric-n1000-p1024,all,18.444444444444443,10.433333333333332,-8.011111111111111,-43.43373493975904
numeric-n1000-p1024,datasig,86.5,75.25,-11.25,-13.005780346820806
strl_low-n10000-p32,fraction,83.0,82.0,-1.0,-1.2048192771084376
strl_low-n10000-p32,known5_fraction,9.633333333333333,9.466666666666667,-0.16666666666666607,-1.730103806228367
strl_low-n10000-p32,all,83.0,82.5,-0.5,-0.6024096385542133
strl_low-n10000-p32,datasig,152.0,152.0,0.0,0.0
strl_high-n10000-p32,fraction,196.0,197.0,1.0,0.5102040816326481
strl_high-n10000-p32,known5_fraction,55.16666666666667,54.33333333333333,-0.8333333333333428,-1.510574018126909
strl_high-n10000-p32,all,293.5,292.0,-1.5,-0.5110732538330498
strl_high-n10000-p32,datasig,261.0,260.0,-1.0,-0.3831417624521105
