case,family,rows,file_columns,loaded_columns,variant,scenario,n,median_ms,minimum_ms,maximum_ms
numeric-n1000-p8,numeric,1000,8,8,current,fraction,8,1.2232142857142858,1.2142857142857144,1.325892857142857
numeric-n1000-p8,numeric,1000,8,8,direct,fraction,8,1.0763888888888888,1.0694444444444444,1.1805555555555556
numeric-n1000-p8,numeric,1000,8,1,current,known5_fraction,8,1.2734375,1.2578125,1.3828125
numeric-n1000-p8,numeric,1000,8,1,direct,known5_fraction,8,1.154296875,1.1328125,1.21875
numeric-n1000-p8,numeric,1000,8,8,current,all,8,0.51171875,0.51171875,0.533203125
numeric-n1000-p8,numeric,1000,8,8,direct,all,8,0.3515625,0.345703125,0.373046875
numeric-n1000-p8,numeric,1000,8,8,current,datasig,8,1.15234375,1.1484375,1.2265625
numeric-n1000-p8,numeric,1000,8,8,direct,datasig,8,0.9875,0.96875,1.0562500000000001
numeric-n10000-p128,numeric,10000,128,128,current,fraction,8,4.890625,4.59375,5.15625
numeric-n10000-p128,numeric,10000,128,128,direct,fraction,8,3.8229166666666665,3.645833333333333,4.020833333333334
numeric-n10000-p128,numeric,10000,128,7,current,known5_fraction,8,2.3828125,2.328125,2.59375
numeric-n10000-p128,numeric,10000,128,7,direct,known5_fraction,8,2.20703125,2.171875,2.375
numeric-n10000-p128,numeric,10000,128,128,current,all,8,5.234374999999999,5.03125,5.5
numeric-n10000-p128,numeric,10000,128,128,direct,all,8,4.166666666666667,4.041666666666666,4.374999999999999
numeric-n10000-p128,numeric,10000,128,128,current,datasig,8,13.875,13.25,14.499999999999998
numeric-n10000-p128,numeric,10000,128,128,direct,datasig,8,12.769230769230768,12.23076923076923,13.384615384615383
mixed-n10000-p128,mixed,10000,128,128,current,fraction,8,6.296875,6.0,6.59375
mixed-n10000-p128,mixed,10000,128,128,direct,fraction,8,5.125,4.84375,5.3125
mixed-n10000-p128,mixed,10000,128,7,current,known5_fraction,8,2.984375,2.921875,3.25
mixed-n10000-p128,mixed,10000,128,7,direct,known5_fraction,8,2.8203125,2.78125,3.09375
mixed-n10000-p128,mixed,10000,128,128,current,all,8,8.078125,7.78125,8.1875
mixed-n10000-p128,mixed,10000,128,128,direct,all,8,6.828125,6.53125,7.0625
