run,case,reader,workload,variant,repetition,load_seconds,elapsed_seconds,workflow_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,native_before,native_after
downstream-v2,100mb-all,dta,sparse,baseline,1,0.046,0.006,0.053,0.006,295305216,0.321978,{},{}
downstream-v2,100mb-all,dta,sparse,candidate,1,0.042,0.006,0.048,0.006,290701312,0.30323300000000003,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,sparse,candidate,2,0.042,0.006,0.048,0.006,290717696,0.301241,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,sparse,baseline,2,0.046,0.006,0.052,0.006,291389440,0.318709,{},{}
downstream-v2,100mb-all,dta,sparse,baseline,3,0.046,0.006,0.052,0.006,290521088,0.319173,{},{}
downstream-v2,100mb-all,dta,sparse,candidate,3,0.042,0.006,0.049,0.006,290930688,0.30720499999999995,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,sparse,candidate,4,0.043,0.006,0.05,0.007,295829504,0.30594499999999997,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,sparse,baseline,4,0.046,0.006,0.052,0.006,292306944,0.31566799999999995,{},{}
downstream-v2,100mb-all,dta,sparse,baseline,5,0.046,0.006,0.052,0.006,293879808,0.31931899999999996,{},{}
downstream-v2,100mb-all,dta,sparse,candidate,5,0.043,0.006,0.05,0.006,290062336,0.305954,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,sparse,candidate,6,0.043,0.006,0.049,0.007,290619392,0.306635,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,sparse,baseline,6,0.046,0.006,0.052,0.006,291586048,0.31986099999999995,{},{}
