run,case,reader,workload,variant,median_elapsed_seconds,min_elapsed_seconds,max_elapsed_seconds,median_load_seconds,min_load_seconds,max_load_seconds,median_workflow_seconds,min_workflow_seconds,max_workflow_seconds,median_cpu_seconds,min_cpu_seconds,max_cpu_seconds,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes
downstream-v2,100mb-all,dta,sparse,baseline,0.006,0.006,0.006,0.046,0.046,0.046,0.052,0.052,0.053,0.006,0.006,0.006,291946496.0,290521088,295305216
downstream-v2,100mb-all,dta,sparse,candidate,0.006,0.006,0.006,0.042499999999999996,0.042,0.043,0.049,0.048,0.05,0.006,0.006,0.007,290709504.0,290062336,295829504
downstream-v2,100mb-all,dta,traverse,baseline,0.024,0.024,0.025,0.046,0.045,0.046,0.07,0.07,0.071,0.055,0.052,0.056,388431872.0,385925120,390922240
downstream-v2,100mb-all,dta,traverse,candidate,0.024,0.024,0.026,0.043,0.042,0.043,0.067,0.066,0.069,0.055,0.054,0.059,372850688.0,371720192,379076608
downstream-v2,100mb-all,dta,first_write,baseline,0.002,0.001,0.002,0.046,0.045,0.046,0.112,0.111,0.113,0.002,0.001,0.002,431972352.0,429916160,434782208
downstream-v2,100mb-all,dta,first_write,candidate,0.002,0.001,0.002,0.043,0.041,0.044,0.108,0.107,0.109,0.002,0.001,0.002,422805504.0,422559744,423526400
downstream-v2,100mb-all,dta,r_vector,baseline,0.005,0.004,0.005,0.045,0.044,0.046,0.05,0.049,0.051,0.0045000000000000005,0.004,0.006,301416448.0,297795584,302317568
downstream-v2,100mb-all,dta,r_vector,candidate,0.004,0.004,0.005,0.042,0.041,0.044,0.0475,0.046,0.048,0.005,0.004,0.006,298213376.0,297762816,298401792
downstream-v2,100mb-all,arrow,sparse,baseline,0.006,0.006,0.006,0.029,0.028,0.029,0.035,0.035,0.036,0.006,0.006,0.006,380338176.0,377143296,383074304
downstream-v2,100mb-all,arrow,sparse,candidate,0.012,0.012,0.012,0.0305,0.029,0.032,0.042499999999999996,0.041,0.044,0.012,0.011,0.012,364109824.0,362676224,367558656
downstream-v2,100mb-all,arrow,traverse,baseline,0.024,0.023,0.024,0.029,0.028,0.03,0.053,0.052,0.054,0.051,0.05,0.051,433766400.0,429539328,435748864
downstream-v2,100mb-all,arrow,traverse,candidate,0.024,0.023,0.024,0.029,0.028,0.03,0.053,0.053,0.054,0.051,0.05,0.052,417628160.0,415072256,422789120
downstream-v2,100mb-all,arrow,first_write,baseline,0.002,0.001,0.002,0.0295,0.028,0.03,0.095,0.093,0.095,0.002,0.001,0.002,479731712.0,473956352,481525760
downstream-v2,100mb-all,arrow,first_write,candidate,0.002,0.002,0.002,0.0295,0.028,0.031,0.073,0.071,0.074,0.001,0.001,0.002,458809344.0,455819264,461717504
downstream-v2,100mb-all,arrow,r_vector,baseline,0.004,0.004,0.005,0.029,0.028,0.03,0.033,0.032,0.035,0.004,0.004,0.005,380772352.0,377552896,382402560
downstream-v2,100mb-all,arrow,r_vector,candidate,0.005,0.005,0.005,0.03,0.029,0.031,0.035500000000000004,0.035,0.036,0.0055,0.005,0.006,364724224.0,360923136,365232128
downstream-v2,india-all,dta,sparse,baseline,0.016,0.015,0.016,0.7404999999999999,0.735,0.749,0.778,0.772,0.787,0.016,0.015,0.016,5236146176.0,5233033216,5237194752
downstream-v2,india-all,dta,sparse,candidate,0.017,0.017,0.018,0.6065,0.605,0.609,0.646,0.644,0.649,0.017,0.017,0.018,5234581504.0,5231902720,5241061376
downstream-v2,india-all,dta,traverse,baseline,0.7204999999999999,0.713,0.723,0.7404999999999999,0.736,0.743,1.4820000000000002,1.476,1.486,1.0145,1.007,1.016,5546074112.0,5544640512,5548343296
downstream-v2,india-all,dta,traverse,candidate,0.7184999999999999,0.711,0.73,0.6065,0.6,0.61,1.3485,1.338,1.354,1.014,1.007,1.024,5549957120.0,5546459136,5552685056
