run,case,selection_mode,mode,cohort,repetition,position,method,elapsed_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,calls
screen-arrow-bounded,100mb-all,all,fresh,1,1,1,baseline-dta,0.047,0.145,292159488,0.326005,
screen-arrow-bounded,100mb-all,all,fresh,1,1,2,baseline-arrow,0.031,0.098,381517824,0.28077799999999997,
screen-arrow-bounded,100mb-all,all,fresh,1,1,3,candidate-dta,0.05,0.149,295682048,0.332516,
screen-arrow-bounded,100mb-all,all,fresh,1,1,4,candidate-arrow,0.032,0.101,382058496,0.284392,
screen-arrow-bounded,100mb-all,all,fresh,1,1,5,stata,0.011,,144621568,0.026105999999999997,
screen-arrow-bounded,100mb-all,all,fresh,1,2,1,baseline-arrow,0.031,0.1,381239296,0.282963,
screen-arrow-bounded,100mb-all,all,fresh,1,2,2,candidate-dta,0.048,0.148,292241408,0.328779,
screen-arrow-bounded,100mb-all,all,fresh,1,2,3,candidate-arrow,0.031,0.099,377405440,0.28149799999999997,
screen-arrow-bounded,100mb-all,all,fresh,1,2,4,stata,0.011,,144719872,0.026473999999999998,
screen-arrow-bounded,100mb-all,all,fresh,1,2,5,baseline-dta,0.048,0.145,295174144,0.32639399999999996,
screen-arrow-bounded,100mb-all,all,fresh,1,3,1,candidate-dta,0.046,0.144,292421632,0.32571999999999995,
screen-arrow-bounded,100mb-all,all,fresh,1,3,2,candidate-arrow,0.03,0.097,382582784,0.279723,
screen-arrow-bounded,100mb-all,all,fresh,1,3,3,stata,0.01,,144621568,0.026111,
screen-arrow-bounded,100mb-all,all,fresh,1,3,4,baseline-dta,0.048,0.145,292159488,0.326422,
screen-arrow-bounded,100mb-all,all,fresh,1,3,5,baseline-arrow,0.032,0.099,378961920,0.282234,
screen-arrow-bounded,100mb-all,all,fresh,1,4,1,candidate-arrow,0.032,0.102,382107648,0.284848,
screen-arrow-bounded,100mb-all,all,fresh,1,4,2,stata,0.01,,144703488,0.026084999999999997,
screen-arrow-bounded,100mb-all,all,fresh,1,4,3,baseline-dta,0.047,0.144,292175872,0.324895,
screen-arrow-bounded,100mb-all,all,fresh,1,4,4,baseline-arrow,0.031,0.096,379715584,0.278722,
screen-arrow-bounded,100mb-all,all,fresh,1,4,5,candidate-dta,0.047,0.143,292192256,0.326163,
screen-arrow-bounded,100mb-all,all,fresh,1,5,1,stata,0.01,,144637952,0.025885,
screen-arrow-bounded,100mb-all,all,fresh,1,5,2,baseline-dta,0.047,0.143,291749888,0.324697,
screen-arrow-bounded,100mb-all,all,fresh,1,5,3,baseline-arrow,0.032,0.1,381632512,0.283497,
screen-arrow-bounded,100mb-all,all,fresh,1,5,4,candidate-dta,0.048,0.147,295026688,0.327808,
screen-arrow-bounded,100mb-all,all,fresh,1,5,5,candidate-arrow,0.032,0.1,380682240,0.282433,
screen-arrow-bounded,100mb-all,all,fresh,1,6,1,stata,0.01,,144687104,0.026097,
screen-arrow-bounded,100mb-all,all,fresh,1,6,2,candidate-arrow,0.03,0.098,379912192,0.280916,
screen-arrow-bounded,100mb-all,all,fresh,1,6,3,candidate-dta,0.048,0.142,295993344,0.323093,
screen-arrow-bounded,100mb-all,all,fresh,1,6,4,baseline-arrow,0.032,0.1,380731392,0.283441,
screen-arrow-bounded,100mb-all,all,fresh,1,6,5,baseline-dta,0.049,0.146,295141376,0.33056599999999997,
screen-arrow-bounded,india-all,all,fresh,1,1,1,baseline-dta,0.741,5.327,5237686272,5.530338,
screen-arrow-bounded,india-all,all,fresh,1,1,2,baseline-arrow,0.575,4.448,10279141376,4.668803,
screen-arrow-bounded,india-all,all,fresh,1,1,3,candidate-dta,0.754,5.4,5238112256,5.602314,
screen-arrow-bounded,india-all,all,fresh,1,1,4,candidate-arrow,0.572,4.554,10282647552,4.774514,
screen-arrow-bounded,india-all,all,fresh,1,1,5,stata,0.472,,5256822784,0.503132,
screen-arrow-bounded,india-all,all,fresh,1,2,1,baseline-arrow,0.569,4.562,10278404096,4.7728269999999995,
screen-arrow-bounded,india-all,all,fresh,1,2,2,candidate-dta,0.757,5.368,5236260864,5.570254,
screen-arrow-bounded,india-all,all,fresh,1,2,3,candidate-arrow,0.576,4.543,10279632896,4.763273,
screen-arrow-bounded,india-all,all,fresh,1,2,4,stata,0.474,,5256790016,0.5056259999999999,
screen-arrow-bounded,india-all,all,fresh,1,2,5,baseline-dta,0.744,5.313,5236752384,5.516142,
screen-arrow-bounded,india-all,all,fresh,1,3,1,candidate-dta,0.743,5.346,5238226944,5.549963,
screen-arrow-bounded,india-all,all,fresh,1,3,2,candidate-arrow,0.575,4.513,10277863424,4.724895,
screen-arrow-bounded,india-all,all,fresh,1,3,3,stata,0.476,,5256822784,0.510431,
screen-arrow-bounded,india-all,all,fresh,1,3,4,baseline-dta,0.754,5.349,5236064256,5.552053000000001,
screen-arrow-bounded,india-all,all,fresh,1,3,5,baseline-arrow,0.573,4.582,10280255488,4.8019739999999995,
screen-arrow-bounded,india-all,all,fresh,1,4,1,candidate-arrow,0.57,4.459,10277994496,4.679249,
screen-arrow-bounded,india-all,all,fresh,1,4,2,stata,0.475,,5256790016,0.510667,
screen-arrow-bounded,india-all,all,fresh,1,4,3,baseline-dta,0.747,5.359,5236342784,5.561772,
screen-arrow-bounded,india-all,all,fresh,1,4,4,baseline-arrow,0.576,4.552,10279747584,4.763213,
screen-arrow-bounded,india-all,all,fresh,1,4,5,candidate-dta,0.746,5.33,5233344512,5.532368,
screen-arrow-bounded,india-all,all,fresh,1,5,1,stata,0.474,,5256806400,0.5051509999999999,
screen-arrow-bounded,india-all,all,fresh,1,5,2,baseline-dta,0.757,5.373,5235195904,5.576006,
screen-arrow-bounded,india-all,all,fresh,1,5,3,baseline-arrow,0.568,4.527,10280976384,4.738592,
screen-arrow-bounded,india-all,all,fresh,1,5,4,candidate-dta,0.753,5.353,5236932608,5.557412,
screen-arrow-bounded,india-all,all,fresh,1,5,5,candidate-arrow,0.575,4.484,10281615360,4.707722,
screen-arrow-bounded,india-all,all,fresh,1,6,1,stata,0.475,,5256790016,0.510524,
screen-arrow-bounded,india-all,all,fresh,1,6,2,candidate-arrow,0.576,4.527,10283876352,4.747351,
screen-arrow-bounded,india-all,all,fresh,1,6,3,candidate-dta,0.753,5.327,5234933760,5.529182,
screen-arrow-bounded,india-all,all,fresh,1,6,4,baseline-arrow,0.572,4.57,10281336832,4.780517,
screen-arrow-bounded,india-all,all,fresh,1,6,5,baseline-dta,0.763,5.349,5234409472,5.553802,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,1,baseline-dta,0.265,0.338,232194048,0.506528,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,2,baseline-arrow,0.07,0.094,265994240,0.258341,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,3,candidate-dta,0.272,0.347,232308736,0.512157,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,4,candidate-arrow,0.071,0.094,267911168,0.25832099999999997,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,5,stata,0.317,,80855040,0.332829,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,1,baseline-arrow,0.073,0.094,266158080,0.259354,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,2,candidate-dta,0.264,0.338,232243200,0.501825,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,3,candidate-arrow,0.07,0.093,265748480,0.256202,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,4,stata,0.316,,80871424,0.332074,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,5,baseline-dta,0.264,0.339,232144896,0.50337,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,1,candidate-dta,0.265,0.338,232161280,0.5010239999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,2,candidate-arrow,0.071,0.094,266223616,0.257316,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,3,stata,0.313,,80953344,0.329129,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,4,baseline-dta,0.265,0.338,232275968,0.502597,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,5,baseline-arrow,0.072,0.093,264830976,0.25673,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,1,candidate-arrow,0.071,0.09,265912320,0.254226,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,2,stata,0.316,,81002496,0.332343,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,3,baseline-dta,0.268,0.342,232325120,0.5064569999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,4,baseline-arrow,0.071,0.094,268304384,0.257744,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,5,candidate-dta,0.264,0.337,233734144,0.5008779999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,1,stata,0.316,,80969728,0.33214899999999997,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,2,baseline-dta,0.264,0.337,231997440,0.5020169999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,3,baseline-arrow,0.07,0.094,265715712,0.257668,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,4,candidate-dta,0.265,0.339,232194048,0.5033559999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,5,candidate-arrow,0.072,0.093,266174464,0.258923,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,1,stata,0.316,,80920576,0.332733,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,2,candidate-arrow,0.071,0.092,264716288,0.25615,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,3,candidate-dta,0.266,0.34,232112128,0.504587,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,4,baseline-arrow,0.071,0.094,266010624,0.257816,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,5,baseline-dta,0.264,0.337,232177664,0.49999999999999994,
screen-arrow-bounded,mixed-all,all,fresh,1,1,1,baseline-dta,0.017,0.021,108462080,0.177554,
screen-arrow-bounded,mixed-all,all,fresh,1,1,2,baseline-arrow,0.016,0.021,110952448,0.17823399999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,1,3,candidate-dta,0.017,0.021,108806144,0.177109,
screen-arrow-bounded,mixed-all,all,fresh,1,1,4,candidate-arrow,0.017,0.021,111247360,0.177363,
screen-arrow-bounded,mixed-all,all,fresh,1,1,5,stata,0.001,,40550400,0.01679,
screen-arrow-bounded,mixed-all,all,fresh,1,2,1,baseline-arrow,0.017,0.021,111263744,0.18212299999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,2,2,candidate-dta,0.018,0.022,108806144,0.178282,
screen-arrow-bounded,mixed-all,all,fresh,1,2,3,candidate-arrow,0.017,0.023,111165440,0.17995799999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,2,4,stata,0.001,,40402944,0.016718999999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,2,5,baseline-dta,0.017,0.023,111001600,0.178796,
screen-arrow-bounded,mixed-all,all,fresh,1,3,1,candidate-dta,0.018,0.021,108904448,0.17820599999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,3,2,candidate-arrow,0.017,0.022,111099904,0.17931299999999997,
screen-arrow-bounded,mixed-all,all,fresh,1,3,3,stata,0.001,,40468480,0.0167,
screen-arrow-bounded,mixed-all,all,fresh,1,3,4,baseline-dta,0.017,0.021,108412928,0.17785199999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,3,5,baseline-arrow,0.016,0.022,111067136,0.17785,
screen-arrow-bounded,mixed-all,all,fresh,1,4,1,candidate-arrow,0.016,0.023,111329280,0.178708,
screen-arrow-bounded,mixed-all,all,fresh,1,4,2,stata,0.001,,40468480,0.016639,
screen-arrow-bounded,mixed-all,all,fresh,1,4,3,baseline-dta,0.018,0.021,108412928,0.177972,
screen-arrow-bounded,mixed-all,all,fresh,1,4,4,baseline-arrow,0.017,0.022,111050752,0.17754699999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,4,5,candidate-dta,0.017,0.021,108855296,0.17741200000000001,
screen-arrow-bounded,mixed-all,all,fresh,1,5,1,stata,0.001,,40468480,0.016732999999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,5,2,baseline-dta,0.017,0.021,108625920,0.17795999999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,5,3,baseline-arrow,0.017,0.022,111165440,0.178279,
screen-arrow-bounded,mixed-all,all,fresh,1,5,4,candidate-dta,0.017,0.022,108806144,0.177888,
screen-arrow-bounded,mixed-all,all,fresh,1,5,5,candidate-arrow,0.016,0.022,111345664,0.17703199999999997,
