run,case,mode,cohort,method,observations,median_seconds,min_seconds,max_seconds,stata_median_seconds,median_peak_rss_bytes,median_cpu_seconds,parity,timer_resolved
screen-arrow-bounded,100mb-all,fresh,1,baseline-arrow,6,0.0315,0.031,0.032,0.01,380985344.0,0.0995,False,
screen-arrow-bounded,100mb-all,fresh,1,baseline-dta,6,0.0475,0.047,0.049,0.01,292167680.0,0.145,False,
screen-arrow-bounded,100mb-all,fresh,1,candidate-arrow,6,0.0315,0.03,0.032,0.01,381370368.0,0.0995,False,
screen-arrow-bounded,100mb-all,fresh,1,candidate-dta,6,0.048,0.046,0.05,0.01,293724160.0,0.1455,False,
screen-arrow-bounded,100mb-all,fresh,1,stata,6,0.01,0.01,0.011,0.01,144662528.0,,False,
screen-arrow-bounded,india-30-scattered-known,fresh,1,baseline-arrow,6,0.071,0.07,0.073,0.316,266002432.0,0.094,False,
screen-arrow-bounded,india-30-scattered-known,fresh,1,baseline-dta,6,0.2645,0.264,0.268,0.316,232185856.0,0.338,False,
screen-arrow-bounded,india-30-scattered-known,fresh,1,candidate-arrow,6,0.071,0.07,0.072,0.316,266043392.0,0.093,False,
screen-arrow-bounded,india-30-scattered-known,fresh,1,candidate-dta,6,0.265,0.264,0.272,0.316,232218624.0,0.3385,False,
screen-arrow-bounded,india-30-scattered-known,fresh,1,stata,6,0.316,0.313,0.317,0.316,80936960.0,,False,
screen-arrow-bounded,india-all,fresh,1,baseline-arrow,6,0.5725,0.568,0.576,0.4745,10280001536.0,4.557,False,
screen-arrow-bounded,india-all,fresh,1,baseline-dta,6,0.7505,0.741,0.763,0.4745,5236203520.0,5.349,False,
screen-arrow-bounded,india-all,fresh,1,candidate-arrow,6,0.575,0.57,0.576,0.4745,10280624128.0,4.52,False,
screen-arrow-bounded,india-all,fresh,1,candidate-dta,6,0.753,0.743,0.757,0.4745,5236596736.0,5.3495,False,
screen-arrow-bounded,india-all,fresh,1,stata,6,0.4745,0.472,0.476,0.4745,5256798208.0,,False,
screen-arrow-bounded,mixed-all,fresh,1,baseline-arrow,6,0.0165,0.016,0.017,0.001,111116288.0,0.022,False,
screen-arrow-bounded,mixed-all,fresh,1,baseline-dta,6,0.017,0.017,0.018,0.001,108437504.0,0.021,False,
screen-arrow-bounded,mixed-all,fresh,1,candidate-arrow,6,0.0165,0.016,0.017,0.001,111288320.0,0.022,False,
screen-arrow-bounded,mixed-all,fresh,1,candidate-dta,6,0.017,0.017,0.018,0.001,108806144.0,0.0215,False,
screen-arrow-bounded,mixed-all,fresh,1,stata,6,0.001,0.001,0.001,0.001,40468480.0,,False,
screen-arrow-copy,100mb-all,fresh,1,baseline-arrow,6,0.032,0.03,0.035,0.01,380411904.0,0.0985,False,
screen-arrow-copy,100mb-all,fresh,1,baseline-dta,6,0.048,0.047,0.048,0.01,292823040.0,0.1445,False,
screen-arrow-copy,100mb-all,fresh,1,candidate-arrow,6,0.031,0.03,0.032,0.01,379764736.0,0.0975,False,
screen-arrow-copy,100mb-all,fresh,1,candidate-dta,6,0.048,0.047,0.049,0.01,294002688.0,0.1455,False,
screen-arrow-copy,100mb-all,fresh,1,stata,6,0.01,0.01,0.011,0.01,144605184.0,,False,
screen-arrow-copy,india-30-scattered-known,fresh,1,baseline-arrow,6,0.071,0.071,0.071,0.316,265863168.0,0.093,False,
screen-arrow-copy,india-30-scattered-known,fresh,1,baseline-dta,6,0.2645,0.264,0.267,0.316,232087552.0,0.338,False,
screen-arrow-copy,india-30-scattered-known,fresh,1,candidate-arrow,6,0.07050000000000001,0.07,0.071,0.316,265453568.0,0.089,False,
screen-arrow-copy,india-30-scattered-known,fresh,1,candidate-dta,6,0.2645,0.264,0.266,0.316,232161280.0,0.337,False,
screen-arrow-copy,india-30-scattered-known,fresh,1,stata,6,0.316,0.315,0.318,0.316,80896000.0,,False,
screen-arrow-copy,india-all,fresh,1,baseline-arrow,6,0.5705,0.568,0.572,0.472,10278567936.0,4.461,False,
screen-arrow-copy,india-all,fresh,1,baseline-dta,6,0.751,0.743,0.756,0.472,5237202944.0,5.3125,False,
screen-arrow-copy,india-all,fresh,1,candidate-arrow,6,0.533,0.531,0.54,0.472,10279682048.0,3.8739999999999997,False,
screen-arrow-copy,india-all,fresh,1,candidate-dta,6,0.7484999999999999,0.745,0.754,0.472,5237407744.0,5.285500000000001,False,
screen-arrow-copy,india-all,fresh,1,stata,6,0.472,0.471,0.476,0.472,5256814592.0,,False,
screen-arrow-copy,mixed-all,fresh,1,baseline-arrow,6,0.016,0.016,0.017,0.001,111132672.0,0.022,False,
screen-arrow-copy,mixed-all,fresh,1,baseline-dta,6,0.017,0.017,0.018,0.001,108593152.0,0.021,False,
screen-arrow-copy,mixed-all,fresh,1,candidate-arrow,6,0.016,0.016,0.017,0.001,111124480.0,0.021,False,
screen-arrow-copy,mixed-all,fresh,1,candidate-dta,6,0.017,0.017,0.018,0.001,108789760.0,0.0215,False,
screen-arrow-copy,mixed-all,fresh,1,stata,6,0.001,0.0,0.001,0.001,40484864.0,,False,
screen-arrow-owned,100mb-all,fresh,1,baseline-arrow,6,0.0315,0.03,0.032,0.01,379797504.0,0.0985,False,
screen-arrow-owned,100mb-all,fresh,1,baseline-dta,6,0.0475,0.047,0.048,0.01,293609472.0,0.144,False,
screen-arrow-owned,100mb-all,fresh,1,candidate-arrow,6,0.036,0.036,0.04,0.01,362020864.0,0.1005,False,
screen-arrow-owned,100mb-all,fresh,1,candidate-dta,6,0.0475,0.047,0.048,0.01,293765120.0,0.146,False,
screen-arrow-owned,100mb-all,fresh,1,stata,6,0.01,0.01,0.011,0.01,144629760.0,,False,
screen-arrow-owned,india-30-scattered-known,fresh,1,baseline-arrow,6,0.071,0.07,0.072,0.3175,265904128.0,0.094,False,
screen-arrow-owned,india-30-scattered-known,fresh,1,baseline-dta,6,0.2645,0.264,0.266,0.3175,232226816.0,0.338,False,
screen-arrow-owned,india-30-scattered-known,fresh,1,candidate-arrow,6,0.09,0.089,0.091,0.3175,241713152.0,0.102,False,
screen-arrow-owned,india-30-scattered-known,fresh,1,candidate-dta,6,0.265,0.264,0.265,0.3175,232153088.0,0.338,False,
screen-arrow-owned,india-30-scattered-known,fresh,1,stata,6,0.3175,0.317,0.321,0.3175,80855040.0,,False,
screen-arrow-owned,india-all,fresh,1,baseline-arrow,6,0.5705,0.567,0.574,0.4725,10280026112.0,4.5205,False,
screen-arrow-owned,india-all,fresh,1,baseline-dta,6,0.7464999999999999,0.743,0.758,0.4725,5234810880.0,5.311,False,
screen-arrow-owned,india-all,fresh,1,candidate-arrow,6,4.254,4.242,4.301,0.4725,5456732160.0,6.145,False,
screen-arrow-owned,india-all,fresh,1,candidate-dta,6,0.7484999999999999,0.745,0.754,0.4725,5236408320.0,5.3420000000000005,False,
screen-arrow-owned,india-all,fresh,1,stata,6,0.4725,0.47,0.474,0.4725,5256814592.0,,False,
screen-arrow-owned,mixed-all,fresh,1,baseline-arrow,6,0.016,0.016,0.017,0.0005,111058944.0,0.022,False,
screen-arrow-owned,mixed-all,fresh,1,baseline-dta,6,0.017,0.017,0.018,0.0005,108560384.0,0.022,False,
screen-arrow-owned,mixed-all,fresh,1,candidate-arrow,6,0.018,0.018,0.019,0.0005,108552192.0,0.02,False,
screen-arrow-owned,mixed-all,fresh,1,candidate-dta,6,0.018,0.017,0.018,0.0005,108789760.0,0.0215,False,
screen-arrow-owned,mixed-all,fresh,1,stata,6,0.0005,0.0,0.001,0.0005,40493056.0,,False,
screen-default,100mb-all,fresh,1,baseline-arrow,6,0.0305,0.03,0.032,0.01,380452864.0,0.098,False,
screen-default,100mb-all,fresh,1,baseline-dta,6,0.048,0.047,0.048,0.01,292257792.0,0.1465,False,
screen-default,100mb-all,fresh,1,candidate-arrow,6,0.0305,0.03,0.032,0.01,378634240.0,0.0995,False,
screen-default,100mb-all,fresh,1,candidate-dta,6,0.047,0.047,0.048,0.01,293593088.0,0.144,False,
screen-default,100mb-all,fresh,1,stata,6,0.01,0.01,0.011,0.01,144621568.0,,False,
screen-default,india-30-scattered-known,fresh,1,baseline-arrow,6,0.071,0.07,0.071,0.317,265928704.0,0.094,False,
