rows,columns,groups,workload,reference_route,before_median_ms,after_median_ms,delta_median_ms,before_iterations,after_iterations,delta_iterations,before_gc_count,after_gc_count,delta_gc_count,before_bench_allocated_bytes,after_bench_allocated_bytes,delta_bench_allocated_bytes,before_first_r_allocated_bytes,after_first_r_allocated_bytes,delta_first_r_allocated_bytes,before_first_r_largest_allocation_bytes,after_first_r_largest_allocation_bytes,delta_first_r_largest_allocation_bytes,before_first_owned_capture,after_first_owned_capture,delta_first_owned_capture,before_first_compact_copy,after_first_compact_copy,delta_first_compact_copy,before_first_staged_new,after_first_staged_new,delta_first_staged_new,before_first_old_journal,after_first_old_journal,delta_first_old_journal,before_first_native_scratch_allocated,after_first_native_scratch_allocated,delta_first_native_scratch_allocated,before_first_mutation_target_copy,after_first_mutation_target_copy,delta_first_mutation_target_copy,before_first_validation_scan_calls,after_first_validation_scan_calls,delta_first_validation_scan_calls,before_first_validation_scanned_values,after_first_validation_scanned_values,delta_first_validation_scanned_values,before_warm_r_allocated_bytes,after_warm_r_allocated_bytes,delta_warm_r_allocated_bytes,before_warm_r_largest_allocation_bytes,after_warm_r_largest_allocation_bytes,delta_warm_r_largest_allocation_bytes,before_warm_owned_capture,after_warm_owned_capture,delta_warm_owned_capture,before_warm_compact_copy,after_warm_compact_copy,delta_warm_compact_copy,before_warm_staged_new,after_warm_staged_new,delta_warm_staged_new,before_warm_old_journal,after_warm_old_journal,delta_warm_old_journal,before_warm_native_scratch_allocated,after_warm_native_scratch_allocated,delta_warm_native_scratch_allocated,before_warm_mutation_target_copy,after_warm_mutation_target_copy,delta_warm_mutation_target_copy,before_warm_validation_scan_calls,after_warm_validation_scan_calls,delta_warm_validation_scan_calls,before_warm_validation_scanned_values,after_warm_validation_scanned_values,delta_warm_validation_scanned_values,median_ratio,investigation_flag
100000,8,16,summarise_one,predecessor_safe_reference,7.67290403018706,7.21567196887918,-0.45723206130787997,7.0,7.0,0.0,3.0,2.0,-1.0,13705968.0,3693280.0,-10012688.0,16044592.0,5111888.0,-10932704.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13705824.0,3693280.0,-10012544.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9404095164609099,False
100000,8,16,summarise_one,public,7.95527099398896,7.21567196887918,-0.7395990251097802,7.0,7.0,0.0,3.0,2.0,-1.0,13706160.0,3693280.0,-10012880.0,13756256.0,5111888.0,-8644368.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13706016.0,3693280.0,-10012736.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9070303166707175,False
1000000,8,16,summarise_one,public,25.179863005178,19.8532660142519,-5.326596990926099,7.0,7.0,0.0,15.0,3.0,-12.0,136106160.0,36093296.0,-100012864.0,136106016.0,36093296.0,-100012720.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136106016.0,36093296.0,-100012720.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884580631026176,False
1000000,8,16,summarise_one,predecessor_safe_reference,24.7170550283045,19.8532660142519,-4.8637890140526,7.0,7.0,0.0,13.0,3.0,-10.0,136105968.0,36093296.0,-100012672.0,136105824.0,36093296.0,-100012528.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136105824.0,36093296.0,-100012528.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032213381212738,False
100000,16,16,summarise_one,predecessor_safe_reference,7.69397802650928,7.549862988526,-0.14411503798327985,7.0,7.0,0.0,2.0,3.0,1.0,13711368.0,3705008.0,-10006360.0,13711224.0,3705008.0,-10006216.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13711224.0,3705008.0,-10006216.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9812691123516681,False
100000,16,16,summarise_one,public,7.72718799998984,7.549862988526,-0.17732501146384028,7.0,7.0,0.0,2.0,3.0,1.0,13711560.0,3705008.0,-10006552.0,13711416.0,3705008.0,-10006408.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13711416.0,3705008.0,-10006408.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770518057197426,False
1000000,16,16,summarise_one,public,24.4361640070565,19.7369490051642,-4.699215001892302,7.0,7.0,0.0,12.0,3.0,-9.0,136111560.0,36105008.0,-100006552.0,136111416.0,36105008.0,-100006408.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136111416.0,36105008.0,-100006408.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076942436408883,False
1000000,16,16,summarise_one,predecessor_safe_reference,24.4215270213317,19.7369490051642,-4.6845780161674995,7.0,7.0,0.0,12.0,3.0,-9.0,136111368.0,36105008.0,-100006360.0,136111224.0,36105008.0,-100006216.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136111224.0,36105008.0,-100006216.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8081783333173386,False
100000,8,128,summarise_one,predecessor_safe_reference,43.8264580152463,44.0700390026905,0.2435809874441972,7.0,7.0,0.0,19.0,18.0,-1.0,13875104.0,3768728.0,-10106376.0,13874960.0,3768728.0,-10106232.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13874960.0,3768728.0,-10106232.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0055578524588837,False
100000,8,128,summarise_one,public,43.820307997521,44.0700390026905,0.24973100516950097,7.0,7.0,0.0,20.0,18.0,-2.0,13875296.0,3768728.0,-10106568.0,13875152.0,3768728.0,-10106424.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13875152.0,3768728.0,-10106424.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0056989787744903,False
1000000,8,128,summarise_one,public,62.0778950105887,58.1865029816981,-3.8913920288906,7.0,7.0,0.0,27.0,19.0,-8.0,136272736.0,36168600.0,-100104136.0,136272592.0,36168600.0,-100103992.0,8000048.0,4000056.0,-3999992.0,16003072.0,3072.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136272592.0,36168600.0,-100103992.0,8000048.0,4000056.0,-3999992.0,16003072.0,3072.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9373143688550193,False
1000000,8,128,summarise_one,predecessor_safe_reference,62.1571070223581,58.1865029816981,-3.9706040406599996,7.0,7.0,0.0,28.0,19.0,-9.0,136272544.0,36168600.0,-100103944.0,136272400.0,36168600.0,-100103800.0,8000048.0,4000056.0,-3999992.0,16003072.0,3072.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136272400.0,36168600.0,-100103800.0,8000048.0,4000056.0,-3999992.0,16003072.0,3072.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936119870584843,False
