"checkpoint","n_cells_used","v_cells_used","vector_heap_bytes","gc_used_megabytes_rounded"
"prefixture",684498,1169275,9354200,45.6
"0_source_only",686985,1187010,9496080,45.8
"5",695162,1205991,9647928,46.5
"50",695247,1206304,9650432,46.5
"100",695262,1206328,9650624,46.5
"250",695277,1206356,9650848,46.5
"500",695293,1206381,9651048,46.5
"gc_only_1",695310,1206406,9651248,46.5
"gc_only_2",695322,1206430,9651440,46.5
"gc_only_3",695334,1206462,9651696,46.5
"gc_only_4",695346,1206486,9651888,46.5
"gc_only_5",695358,1206510,9652080,46.5
"gc_only_6",695370,1206534,9652272,46.5
"gc_only_7",695382,1206558,9652464,46.5
"gc_only_8",695394,1206582,9652656,46.5
"gc_only_9",695406,1206606,9652848,46.5
"gc_only_10",695418,1206630,9653040,46.5
"after_validation",695491,1206841,9654728,46.5
"source_released",695270,1194695,9557560,46.4
"result_released",686973,1175472,9403776,45.7
"released_gc_only_1",686987,1175501,9404008,45.7
"released_gc_only_2",686999,1175527,9404216,45.7
"released_gc_only_3",687011,1175555,9404440,45.7
"released_gc_only_4",687023,1175581,9404648,45.7
"released_gc_only_5",687035,1175609,9404872,45.7
"released_gc_only_6",687047,1175635,9405080,45.7
"released_gc_only_7",687059,1175663,9405304,45.7
"released_gc_only_8",687071,1175689,9405512,45.7
"released_gc_only_9",687083,1175717,9405736,45.7
"released_gc_only_10",687095,1175743,9405944,45.7
