"rows","columns","groups","workload","route","median_ms","iterations","gc_count","bench_allocated_bytes","values_metadata_groups_source","first_r_allocated_bytes","first_r_largest_allocation_bytes","first_owned_capture","first_compact_copy","first_staged_new","first_old_journal","first_native_scratch_allocated","first_mutation_target_copy","first_validation_scan_calls","first_validation_scanned_values","warm_r_allocated_bytes","warm_r_largest_allocation_bytes","warm_owned_capture","warm_compact_copy","warm_staged_new","warm_old_journal","warm_native_scratch_allocated","warm_mutation_target_copy","warm_validation_scan_calls","warm_validation_scanned_values"
100000,8,16,"summarise_one","public",7.21567196887918,7,2,3693280,TRUE,5111888,400056,384,0,0,0,0,0,0,0,3693280,400056,384,0,0,0,0,0,0,0
1000000,8,16,"summarise_one","public",19.8532660142519,7,3,36093296,TRUE,36093296,4000056,384,0,0,0,0,0,0,0,36093296,4000056,384,0,0,0,0,0,0,0
100000,16,16,"summarise_one","public",7.549862988526,7,3,3705008,TRUE,3705008,400056,384,0,0,0,0,0,0,0,3705008,400056,384,0,0,0,0,0,0,0
1000000,16,16,"summarise_one","public",19.7369490051642,7,3,36105008,TRUE,36105008,4000056,384,0,0,0,0,0,0,0,36105008,4000056,384,0,0,0,0,0,0,0
100000,8,128,"summarise_one","public",44.0700390026905,7,18,3768728,TRUE,3768728,400056,3072,0,0,0,0,0,0,0,3768728,400056,3072,0,0,0,0,0,0,0
1000000,8,128,"summarise_one","public",58.1865029816981,7,19,36168600,TRUE,36168600,4000056,3072,0,0,0,0,0,0,0,36168600,4000056,3072,0,0,0,0,0,0,0
100000,16,128,"summarise_one","public",45.8266839850694,7,19,3821656,TRUE,3821656,400056,3072,0,0,0,0,0,0,0,3821656,400056,3072,0,0,0,0,0,0,0
1000000,16,128,"summarise_one","public",59.858564985916,7,19,36221528,TRUE,36221528,4000056,3072,0,0,0,0,0,0,0,36221528,4000056,3072,0,0,0,0,0,0,0
100000,8,16,"summarise_width","public",48.5123890102841,7,20,8545744,TRUE,10471640,400056,768,0,0,0,0,0,0,0,8545744,400056,768,0,0,0,0,0,0,0
1000000,8,16,"summarise_width","public",82.5687520264182,7,24,84145744,TRUE,84145744,4000056,768,0,0,0,0,0,0,0,84145744,4000056,768,0,0,0,0,0,0,0
100000,16,16,"summarise_width","public",93.2803300383966,7,41,14697264,TRUE,14697264,400056,1536,0,0,0,0,0,0,0,14697264,400056,1536,0,0,0,0,0,0,0
1000000,16,16,"summarise_width","public",171.491560991853,7,42,144297264,TRUE,144297264,4000056,1536,0,0,0,0,0,0,0,144297264,4000056,1536,0,0,0,0,0,0,0
100000,8,128,"summarise_width","public",365.603847021703,7,188,9024552,TRUE,9024552,400056,6144,0,0,0,0,0,0,0,9024552,400056,6144,0,0,0,0,0,0,0
1000000,8,128,"summarise_width","public",417.342731001554,7,164,84624168,TRUE,84624168,4000056,6144,0,0,0,0,0,0,0,84624168,4000056,6144,0,0,0,0,0,0,0
100000,16,128,"summarise_width","public",718.717207986629,7,396,16134408,TRUE,16134408,400056,12288,0,0,0,0,0,0,0,16134408,400056,12288,0,0,0,0,0,0,0
1000000,16,128,"summarise_width","public",792.272520047845,7,338,145733896,TRUE,145733896,4000056,12288,0,0,0,0,0,0,0,145733896,4000056,12288,0,0,0,0,0,0,0
100000,8,16,"reframe_half","public",9.05435800086707,7,3,6295200,TRUE,6325560,400056,8e+05,0,0,0,0,0,0,0,6295200,400056,8e+05,0,0,0,0,0,0,0
1000000,8,16,"reframe_half","public",33.0604320042767,7,9,62095136,TRUE,62095136,4000056,8e+06,0,0,0,0,0,0,0,62095136,4000056,8e+06,0,0,0,0,0,0,0
100000,16,16,"reframe_half","public",9.24238402512856,7,3,6306912,TRUE,6306912,400056,8e+05,0,0,0,0,0,0,0,6306912,400056,8e+05,0,0,0,0,0,0,0
1000000,16,16,"reframe_half","public",33.4246759884991,7,6,62106848,TRUE,62106848,4000056,8e+06,0,0,0,0,0,0,0,62106848,4000056,8e+06,0,0,0,0,0,0,0
100000,8,128,"reframe_half","public",50.0898230238818,7,21,6375736,TRUE,6375736,400056,799232,0,0,0,0,0,0,0,6375736,400056,799232,0,0,0,0,0,0,0
1000000,8,128,"reframe_half","public",75.6534460233524,7,24,62176312,TRUE,62176312,4000056,7999488,0,0,0,0,0,0,0,62176312,4000056,7999488,0,0,0,0,0,0,0
100000,16,128,"reframe_half","public",51.4575420238543,7,21,6428664,TRUE,6428664,400056,799232,0,0,0,0,0,0,0,6428664,400056,799232,0,0,0,0,0,0,0
1000000,16,128,"reframe_half","public",78.6598119884729,7,22,62229240,TRUE,62229240,4000056,7999488,0,0,0,0,0,0,0,62229240,4000056,7999488,0,0,0,0,0,0,0
100000,8,16,"group_modify_identity","public",43.5037470015232,7,9,35326200,TRUE,35537912,800048,5200000,0,0,0,0,0,69,500016,35326200,800048,5200000,0,0,0,0,0,69,500016
1000000,8,16,"group_modify_identity","public",302.818169002421,7,28,348526200,TRUE,348526200,8000048,5.2e+07,0,0,0,0,0,69,5000016,348526200,8000048,5.2e+07,0,0,0,0,0,69,5000016
100000,16,16,"group_modify_identity","public",78.0785139941145,7,15,57782704,TRUE,57782704,800048,9600000,0,0,0,0,0,132,800016,57782704,800048,9600000,0,0,0,0,0,132,800016
1000000,16,16,"group_modify_identity","public",516.01886600838,7,29,572582704,TRUE,572582704,8000048,9.6e+07,0,0,0,0,0,132,8000016,572582704,8000048,9.6e+07,0,0,0,0,0,132,8000016
100000,8,128,"group_modify_identity","public",165.682434977498,7,67,35644600,TRUE,35644600,800048,5200000,0,0,0,0,0,517,500128,35644600,800048,5200000,0,0,0,0,0,517,500128
1000000,8,128,"group_modify_identity","public",428.007446025731,7,77,348843320,TRUE,348843320,8000048,5.2e+07,0,0,0,0,0,517,5000128,348843320,8000048,5.2e+07,0,0,0,0,0,517,5000128
100000,16,128,"group_modify_identity","public",308.16030499409,7,132,58442480,TRUE,58442480,800048,9600000,0,0,0,0,0,1028,800128,58442480,800048,9600000,0,0,0,0,0,1028,800128
1000000,16,128,"group_modify_identity","public",741.128628025763,7,130,573240304,TRUE,573240304,8000048,9.6e+07,0,0,0,0,0,1028,8000128,573240304,8000048,9.6e+07,0,0,0,0,0,1028,8000128
100000,8,16,"group_nest","public",5.98050604457967,7,1,8101120,TRUE,8324408,400056,4e+05,0,0,0,0,0,0,0,8101120,400056,4e+05,0,0,0,0,0,0,0
1000000,8,16,"group_nest","public",34.953115042299,7,9,80101120,TRUE,80101120,4000056,4e+06,0,0,0,0,0,0,0,80101120,4000056,4e+06,0,0,0,0,0,0,0
100000,16,16,"group_nest","public",8.81446702987887,7,2,13332424,TRUE,13332424,400056,8e+05,0,0,0,0,0,0,0,13332424,400056,8e+05,0,0,0,0,0,0,0
1000000,16,16,"group_nest","public",63.5784540208988,7,11,132132424,TRUE,132132424,4000056,8e+06,0,0,0,0,0,0,0,132132424,4000056,8e+06,0,0,0,0,0,0,0
100000,8,128,"group_nest","public",23.3761910058092,7,8,8252232,TRUE,8252232,400056,4e+05,0,0,0,0,0,0,0,8252232,400056,4e+05,0,0,0,0,0,0,0
1000000,8,128,"group_nest","public",58.7554190133233,7,13,80251464,TRUE,80251464,4000056,4e+06,0,0,0,0,0,0,0,80251464,4000056,4e+06,0,0,0,0,0,0,0
