rows,columns,groups,workload,reference_route,before_median_ms,after_median_ms,delta_median_ms,before_iterations,after_iterations,delta_iterations,before_gc_count,after_gc_count,delta_gc_count,before_bench_allocated_bytes,after_bench_allocated_bytes,delta_bench_allocated_bytes,before_first_r_allocated_bytes,after_first_r_allocated_bytes,delta_first_r_allocated_bytes,before_first_r_largest_allocation_bytes,after_first_r_largest_allocation_bytes,delta_first_r_largest_allocation_bytes,before_first_owned_capture,after_first_owned_capture,delta_first_owned_capture,before_first_compact_copy,after_first_compact_copy,delta_first_compact_copy,before_first_staged_new,after_first_staged_new,delta_first_staged_new,before_first_old_journal,after_first_old_journal,delta_first_old_journal,before_first_native_scratch_allocated,after_first_native_scratch_allocated,delta_first_native_scratch_allocated,before_first_mutation_target_copy,after_first_mutation_target_copy,delta_first_mutation_target_copy,before_first_validation_scan_calls,after_first_validation_scan_calls,delta_first_validation_scan_calls,before_first_validation_scanned_values,after_first_validation_scanned_values,delta_first_validation_scanned_values,before_warm_r_allocated_bytes,after_warm_r_allocated_bytes,delta_warm_r_allocated_bytes,before_warm_r_largest_allocation_bytes,after_warm_r_largest_allocation_bytes,delta_warm_r_largest_allocation_bytes,before_warm_owned_capture,after_warm_owned_capture,delta_warm_owned_capture,before_warm_compact_copy,after_warm_compact_copy,delta_warm_compact_copy,before_warm_staged_new,after_warm_staged_new,delta_warm_staged_new,before_warm_old_journal,after_warm_old_journal,delta_warm_old_journal,before_warm_native_scratch_allocated,after_warm_native_scratch_allocated,delta_warm_native_scratch_allocated,before_warm_mutation_target_copy,after_warm_mutation_target_copy,delta_warm_mutation_target_copy,before_warm_validation_scan_calls,after_warm_validation_scan_calls,delta_warm_validation_scan_calls,before_warm_validation_scanned_values,after_warm_validation_scanned_values,delta_warm_validation_scanned_values,median_ratio,investigation_flag
100000,8,16,summarise_one,predecessor_safe_reference,7.67290403018706,7.197550003184,-0.4753540270030596,7.0,7.0,0.0,3.0,2.0,-1.0,13705968.0,3693280.0,-10012688.0,16044592.0,5110032.0,-10934560.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13705824.0,3693280.0,-10012544.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9380477033033514,False
100000,8,16,summarise_one,public,7.95527099398896,7.197550003184,-0.7577209908049598,7.0,7.0,0.0,3.0,2.0,-1.0,13706160.0,3693280.0,-10012880.0,13756256.0,5110032.0,-8646224.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13706016.0,3693280.0,-10012736.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047523344738982,False
1000000,8,16,summarise_one,public,25.179863005178,19.458107999526,-5.721755005652,7.0,7.0,0.0,15.0,3.0,-12.0,136106160.0,36093296.0,-100012864.0,136106016.0,36093296.0,-100012720.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136106016.0,36093296.0,-100012720.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7727646490977582,False
1000000,8,16,summarise_one,predecessor_safe_reference,24.7170550283045,19.458107999526,-5.2589470287785005,7.0,7.0,0.0,13.0,3.0,-10.0,136105968.0,36093296.0,-100012672.0,136105824.0,36093296.0,-100012528.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136105824.0,36093296.0,-100012528.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7872340769255776,False
100000,16,16,summarise_one,predecessor_safe_reference,7.69397802650928,7.3356380162295,-0.3583400102797798,7.0,7.0,0.0,2.0,3.0,1.0,13711368.0,3705008.0,-10006360.0,13711224.0,3705008.0,-10006216.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13711224.0,3705008.0,-10006216.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9534259119216179,False
100000,16,16,summarise_one,public,7.72718799998984,7.3356380162295,-0.3915499837603402,7.0,7.0,0.0,2.0,3.0,1.0,13711560.0,3705008.0,-10006552.0,13711416.0,3705008.0,-10006408.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13711416.0,3705008.0,-10006408.0,800048.0,400056.0,-399992.0,1600384.0,384.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9493282700303325,False
1000000,16,16,summarise_one,public,24.4361640070565,19.2677449958865,-5.168419011170002,7.0,7.0,0.0,12.0,3.0,-9.0,136111560.0,36105008.0,-100006552.0,136111416.0,36105008.0,-100006408.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136111416.0,36105008.0,-100006408.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884930298520871,False
1000000,16,16,summarise_one,predecessor_safe_reference,24.4215270213317,19.2677449958865,-5.153782025445199,7.0,7.0,0.0,12.0,3.0,-9.0,136111368.0,36105008.0,-100006360.0,136111224.0,36105008.0,-100006216.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136111224.0,36105008.0,-100006216.0,8000048.0,4000056.0,-3999992.0,16000384.0,384.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788965611325472,False
100000,8,128,summarise_one,predecessor_safe_reference,43.8264580152463,43.1321230425965,-0.6943349726498056,7.0,7.0,0.0,19.0,17.0,-2.0,13875104.0,3768728.0,-10106376.0,13874960.0,3768728.0,-10106232.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13874960.0,3768728.0,-10106232.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9841571734496942,False
100000,8,128,summarise_one,public,43.820307997521,43.1321230425965,-0.6881849549245018,7.0,7.0,0.0,20.0,17.0,-3.0,13875296.0,3768728.0,-10106568.0,13875152.0,3768728.0,-10106424.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13875152.0,3768728.0,-10106424.0,800048.0,400056.0,-399992.0,1603072.0,3072.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9842952962593637,False
