"checkpoint","n_cells_used","v_cells_used","vector_heap_bytes","gc_used_megabytes_rounded"
"prefixture",684751,1169297,9354376,45.6
"0_source_only",687238,1187032,9496256,45.9
"5",697266,1207247,9657976,46.6
"50",710119,1216072,9728576,47.3
"100",718042,1221368,9770944,47.8
"250",728866,1228602,9828816,48.4
"500",733652,1231807,9854456,48.6
"gc_only_1",733669,1231832,9854656,48.6
"gc_only_2",733681,1231856,9854848,48.6
"gc_only_3",733693,1231888,9855104,48.6
"gc_only_4",733705,1231912,9855296,48.6
"gc_only_5",733717,1231936,9855488,48.6
"gc_only_6",733729,1231960,9855680,48.6
"gc_only_7",733741,1231984,9855872,48.6
"gc_only_8",733753,1232008,9856064,48.6
"gc_only_9",733765,1232032,9856256,48.6
"gc_only_10",733777,1232056,9856448,48.6
"after_validation",733850,1232267,9858136,48.7
"source_released",733629,1220121,9760968,48.6
"result_released",725332,1200898,9607184,48
"released_gc_only_1",725346,1200927,9607416,48
"released_gc_only_2",725358,1200953,9607624,48
"released_gc_only_3",725370,1200981,9607848,48
"released_gc_only_4",725382,1201007,9608056,48
"released_gc_only_5",725394,1201035,9608280,48
"released_gc_only_6",725406,1201061,9608488,48
"released_gc_only_7",725418,1201089,9608712,48
"released_gc_only_8",725430,1201115,9608920,48
"released_gc_only_9",725442,1201143,9609144,48
"released_gc_only_10",725454,1201169,9609352,48
