"checkpoint","n_cells_used","v_cells_used","vector_heap_bytes","gc_used_megabytes_rounded"
"prefixture",684475,1169123,9352984,45.6
"0_source_only",686962,1186858,9494864,45.8
"5",695139,1205839,9646712,46.4
"50",695224,1206152,9649216,46.5
"100",695239,1206176,9649408,46.5
"250",695254,1206204,9649632,46.5
"500",695270,1206229,9649832,46.5
"gc_only_1",695287,1206254,9650032,46.5
"gc_only_2",695299,1206278,9650224,46.5
"gc_only_3",695311,1206310,9650480,46.5
"gc_only_4",695323,1206334,9650672,46.5
"gc_only_5",695335,1206358,9650864,46.5
"gc_only_6",695347,1206382,9651056,46.5
"gc_only_7",695359,1206406,9651248,46.5
"gc_only_8",695371,1206430,9651440,46.5
"gc_only_9",695383,1206454,9651632,46.5
"gc_only_10",695395,1206478,9651824,46.5
"after_validation",695468,1206689,9653512,46.5
"source_released",695247,1194543,9556344,46.4
"result_released",686950,1175320,9402560,45.7
"released_gc_only_1",686964,1175349,9402792,45.7
"released_gc_only_2",686976,1175375,9403000,45.7
"released_gc_only_3",686988,1175403,9403224,45.7
"released_gc_only_4",687000,1175429,9403432,45.7
"released_gc_only_5",687012,1175457,9403656,45.7
"released_gc_only_6",687024,1175483,9403864,45.7
"released_gc_only_7",687036,1175511,9404088,45.7
"released_gc_only_8",687048,1175537,9404296,45.7
"released_gc_only_9",687060,1175565,9404520,45.7
"released_gc_only_10",687072,1175591,9404728,45.7
