"rows","columns","groups","workload","route","median_ms","iterations","gc_count","bench_allocated_bytes","values_metadata_groups_source","first_r_allocated_bytes","first_r_largest_allocation_bytes","first_owned_capture","first_compact_copy","first_staged_new","first_old_journal","first_native_scratch_allocated","first_mutation_target_copy","first_validation_scan_calls","first_validation_scanned_values","warm_r_allocated_bytes","warm_r_largest_allocation_bytes","warm_owned_capture","warm_compact_copy","warm_staged_new","warm_old_journal","warm_native_scratch_allocated","warm_mutation_target_copy","warm_validation_scan_calls","warm_validation_scanned_values"
100000,8,16,"summarise_one","public",7.197550003184,7,2,3693280,TRUE,5110032,400056,384,0,0,0,0,0,0,0,3693280,400056,384,0,0,0,0,0,0,0
1000000,8,16,"summarise_one","public",19.458107999526,7,3,36093296,TRUE,36093296,4000056,384,0,0,0,0,0,0,0,36093296,4000056,384,0,0,0,0,0,0,0
100000,16,16,"summarise_one","public",7.3356380162295,7,3,3705008,TRUE,3705008,400056,384,0,0,0,0,0,0,0,3705008,400056,384,0,0,0,0,0,0,0
1000000,16,16,"summarise_one","public",19.2677449958865,7,3,36105008,TRUE,36105008,4000056,384,0,0,0,0,0,0,0,36105008,4000056,384,0,0,0,0,0,0,0
100000,8,128,"summarise_one","public",43.1321230425965,7,17,3768728,TRUE,3768728,400056,3072,0,0,0,0,0,0,0,3768728,400056,3072,0,0,0,0,0,0,0
1000000,8,128,"summarise_one","public",57.4953659961466,7,19,36168600,TRUE,36168600,4000056,3072,0,0,0,0,0,0,0,36168600,4000056,3072,0,0,0,0,0,0,0
100000,16,128,"summarise_one","public",45.5891710298602,7,19,3821656,TRUE,3821656,400056,3072,0,0,0,0,0,0,0,3821656,400056,3072,0,0,0,0,0,0,0
1000000,16,128,"summarise_one","public",58.9756710105576,7,19,36221528,TRUE,36221528,4000056,3072,0,0,0,0,0,0,0,36221528,4000056,3072,0,0,0,0,0,0,0
100000,8,16,"summarise_width","public",48.1493340339512,7,20,8545744,TRUE,10465872,400056,768,0,0,0,0,0,0,0,8545744,400056,768,0,0,0,0,0,0,0
1000000,8,16,"summarise_width","public",101.015021005878,7,21,84145744,TRUE,84145744,4000056,768,0,0,0,0,0,0,0,84145744,4000056,768,0,0,0,0,0,0,0
100000,16,16,"summarise_width","public",93.6268210352864,7,40,14697264,TRUE,14697264,400056,1536,0,0,0,0,0,0,0,14697264,400056,1536,0,0,0,0,0,0,0
1000000,16,16,"summarise_width","public",171.447486005491,7,45,144297264,TRUE,144297264,4000056,1536,0,0,0,0,0,0,0,144297264,4000056,1536,0,0,0,0,0,0,0
100000,8,128,"summarise_width","public",363.131916004932,7,185,9024552,TRUE,9024552,400056,6144,0,0,0,0,0,0,0,9024552,400056,6144,0,0,0,0,0,0,0
1000000,8,128,"summarise_width","public",410.292740009027,7,162,84624168,TRUE,84624168,4000056,6144,0,0,0,0,0,0,0,84624168,4000056,6144,0,0,0,0,0,0,0
100000,16,128,"summarise_width","public",709.55788998981,7,385,16134408,TRUE,16134408,400056,12288,0,0,0,0,0,0,0,16134408,400056,12288,0,0,0,0,0,0,0
1000000,16,128,"summarise_width","public",775.291754980572,7,355,145733896,TRUE,145733896,4000056,12288,0,0,0,0,0,0,0,145733896,4000056,12288,0,0,0,0,0,0,0
100000,8,16,"reframe_half","public",8.9175820176024,7,3,6295200,TRUE,6325560,400056,8e+05,0,0,0,0,0,0,0,6295200,400056,8e+05,0,0,0,0,0,0,0
1000000,8,16,"reframe_half","public",32.8809339844156,7,8,62095136,TRUE,62095136,4000056,8e+06,0,0,0,0,0,0,0,62095136,4000056,8e+06,0,0,0,0,0,0,0
100000,16,16,"reframe_half","public",9.20724699972197,7,3,6306912,TRUE,6306912,400056,8e+05,0,0,0,0,0,0,0,6306912,400056,8e+05,0,0,0,0,0,0,0
1000000,16,16,"reframe_half","public",33.1466140050907,7,5,62106848,TRUE,62106848,4000056,8e+06,0,0,0,0,0,0,0,62106848,4000056,8e+06,0,0,0,0,0,0,0
100000,8,128,"reframe_half","public",49.1691270435695,7,20,6375736,TRUE,6375736,400056,799232,0,0,0,0,0,0,0,6375736,400056,799232,0,0,0,0,0,0,0
1000000,8,128,"reframe_half","public",75.0344690168276,7,23,62176312,TRUE,62176312,4000056,7999488,0,0,0,0,0,0,0,62176312,4000056,7999488,0,0,0,0,0,0,0
100000,16,128,"reframe_half","public",50.8261829963885,7,22,6428664,TRUE,6428664,400056,799232,0,0,0,0,0,0,0,6428664,400056,799232,0,0,0,0,0,0,0
1000000,16,128,"reframe_half","public",76.0219950170722,7,21,62229240,TRUE,62229240,4000056,7999488,0,0,0,0,0,0,0,62229240,4000056,7999488,0,0,0,0,0,0,0
100000,8,16,"group_modify_identity","public",44.2220260156319,7,8,35326200,TRUE,35537912,800048,5200000,0,0,0,0,0,69,500016,35326200,800048,5200000,0,0,0,0,0,69,500016
1000000,8,16,"group_modify_identity","public",304.06879200018,7,29,348526200,TRUE,348526200,8000048,5.2e+07,0,0,0,0,0,69,5000016,348526200,8000048,5.2e+07,0,0,0,0,0,69,5000016
100000,16,16,"group_modify_identity","public",77.4722060305066,7,16,57782704,TRUE,57782704,800048,9600000,0,0,0,0,0,132,800016,57782704,800048,9600000,0,0,0,0,0,132,800016
1000000,16,16,"group_modify_identity","public",516.801925026812,7,32,572582704,TRUE,572582704,8000048,9.6e+07,0,0,0,0,0,132,8000016,572582704,8000048,9.6e+07,0,0,0,0,0,132,8000016
100000,8,128,"group_modify_identity","public",164.026568003464,7,67,35644600,TRUE,35644600,800048,5200000,0,0,0,0,0,517,500128,35644600,800048,5200000,0,0,0,0,0,517,500128
1000000,8,128,"group_modify_identity","public",428.816622006707,7,80,348843320,TRUE,348843320,8000048,5.2e+07,0,0,0,0,0,517,5000128,348843320,8000048,5.2e+07,0,0,0,0,0,517,5000128
100000,16,128,"group_modify_identity","public",305.827569012763,7,133,58442480,TRUE,58442480,800048,9600000,0,0,0,0,0,1028,800128,58442480,800048,9600000,0,0,0,0,0,1028,800128
1000000,16,128,"group_modify_identity","public",741.487665014574,7,136,573240304,TRUE,573240304,8000048,9.6e+07,0,0,0,0,0,1028,8000128,573240304,8000048,9.6e+07,0,0,0,0,0,1028,8000128
100000,8,16,"group_nest","public",5.88928099023178,7,1,8101192,TRUE,8324480,400056,4e+05,0,0,0,0,0,0,0,8101192,400056,4e+05,0,0,0,0,0,0,0
1000000,8,16,"group_nest","public",35.2212960424367,7,9,80101192,TRUE,80101192,4000056,4e+06,0,0,0,0,0,0,0,80101192,4000056,4e+06,0,0,0,0,0,0,0
100000,16,16,"group_nest","public",8.81012101308443,7,2,13332496,TRUE,13332496,400056,8e+05,0,0,0,0,0,0,0,13332496,400056,8e+05,0,0,0,0,0,0,0
1000000,16,16,"group_nest","public",68.5857020143885,7,11,132132496,TRUE,132132496,4000056,8e+06,0,0,0,0,0,0,0,132132496,4000056,8e+06,0,0,0,0,0,0,0
100000,8,128,"group_nest","public",23.6485540226568,7,8,8521152,TRUE,8521152,400056,4e+05,0,0,0,0,0,0,0,8521152,400056,4e+05,0,0,0,0,0,0,0
1000000,8,128,"group_nest","public",58.9486520329956,7,11,80520384,TRUE,80520384,4000056,4e+06,0,0,0,0,0,0,0,80520384,4000056,4e+06,0,0,0,0,0,0,0
100000,16,128,"group_nest","public",36.4658100297675,7,13,13954184,TRUE,13954184,400056,8e+05,0,0,0,0,0,0,0,13954184,400056,8e+05,0,0,0,0,0,0,0
1000000,16,128,"group_nest","public",101.427686022362,7,14,132752776,TRUE,132752776,4000056,8e+06,0,0,0,0,0,0,0,132752776,4000056,8e+06,0,0,0,0,0,0,0
100000,8,16,"nest_by","public",6.01109201670624,7,1,8101560,TRUE,8101560,400056,4e+05,0,0,0,0,0,0,0,8101560,400056,4e+05,0,0,0,0,0,0,0
1000000,8,16,"nest_by","public",35.2887000190094,7,9,80101560,TRUE,80101560,4000056,4e+06,0,0,0,0,0,0,0,80101560,4000056,4e+06,0,0,0,0,0,0,0
100000,16,16,"nest_by","public",9.29732402437367,7,2,13332864,TRUE,13332864,400056,8e+05,0,0,0,0,0,0,0,13332864,400056,8e+05,0,0,0,0,0,0,0
1000000,16,16,"nest_by","public",62.7591099764686,7,12,132132864,TRUE,132132864,4000056,8e+06,0,0,0,0,0,0,0,132132864,4000056,8e+06,0,0,0,0,0,0,0
100000,8,128,"nest_by","public",24.1959450067952,7,9,8535016,TRUE,8535016,400056,4e+05,0,0,0,0,0,0,0,8535016,400056,4e+05,0,0,0,0,0,0,0
