"rows","columns","groups","workload","route","median_ms","iterations","gc_count","bench_allocated_bytes","values_metadata_groups_source","first_r_allocated_bytes","first_r_largest_allocation_bytes","first_owned_capture","first_compact_copy","first_staged_new","first_old_journal","first_native_scratch_allocated","first_mutation_target_copy","first_validation_scan_calls","first_validation_scanned_values","warm_r_allocated_bytes","warm_r_largest_allocation_bytes","warm_owned_capture","warm_compact_copy","warm_staged_new","warm_old_journal","warm_native_scratch_allocated","warm_mutation_target_copy","warm_validation_scan_calls","warm_validation_scanned_values"
100000,8,16,"summarise_one","predecessor_safe_reference",7.67290403018706,7,3,13705968,TRUE,16044592,800048,1600384,0,0,0,0,0,0,0,13705824,800048,1600384,0,0,0,0,0,0,0
100000,8,16,"summarise_one","public",7.95527099398896,7,3,13706160,TRUE,13756256,800048,1600384,0,0,0,0,0,0,0,13706016,800048,1600384,0,0,0,0,0,0,0
1000000,8,16,"summarise_one","public",25.179863005178,7,15,136106160,TRUE,136106016,8000048,16000384,0,0,0,0,0,0,0,136106016,8000048,16000384,0,0,0,0,0,0,0
1000000,8,16,"summarise_one","predecessor_safe_reference",24.7170550283045,7,13,136105968,TRUE,136105824,8000048,16000384,0,0,0,0,0,0,0,136105824,8000048,16000384,0,0,0,0,0,0,0
100000,16,16,"summarise_one","predecessor_safe_reference",7.69397802650928,7,2,13711368,TRUE,13711224,800048,1600384,0,0,0,0,0,0,0,13711224,800048,1600384,0,0,0,0,0,0,0
100000,16,16,"summarise_one","public",7.72718799998984,7,2,13711560,TRUE,13711416,800048,1600384,0,0,0,0,0,0,0,13711416,800048,1600384,0,0,0,0,0,0,0
1000000,16,16,"summarise_one","public",24.4361640070565,7,12,136111560,TRUE,136111416,8000048,16000384,0,0,0,0,0,0,0,136111416,8000048,16000384,0,0,0,0,0,0,0
1000000,16,16,"summarise_one","predecessor_safe_reference",24.4215270213317,7,12,136111368,TRUE,136111224,8000048,16000384,0,0,0,0,0,0,0,136111224,8000048,16000384,0,0,0,0,0,0,0
100000,8,128,"summarise_one","predecessor_safe_reference",43.8264580152463,7,19,13875104,TRUE,13874960,800048,1603072,0,0,0,0,0,0,0,13874960,800048,1603072,0,0,0,0,0,0,0
100000,8,128,"summarise_one","public",43.820307997521,7,20,13875296,TRUE,13875152,800048,1603072,0,0,0,0,0,0,0,13875152,800048,1603072,0,0,0,0,0,0,0
1000000,8,128,"summarise_one","public",62.0778950105887,7,27,136272736,TRUE,136272592,8000048,16003072,0,0,0,0,0,0,0,136272592,8000048,16003072,0,0,0,0,0,0,0
1000000,8,128,"summarise_one","predecessor_safe_reference",62.1571070223581,7,28,136272544,TRUE,136272400,8000048,16003072,0,0,0,0,0,0,0,136272400,8000048,16003072,0,0,0,0,0,0,0
100000,16,128,"summarise_one","predecessor_safe_reference",44.3438779911958,7,19,13880504,TRUE,13880360,800048,1603072,0,0,0,0,0,0,0,13880360,800048,1603072,0,0,0,0,0,0,0
