rows,width,workload,reference_route,before_result_rows,after_result_rows,delta_result_rows,before_result_columns,after_result_columns,delta_result_columns,before_median_ms,after_median_ms,delta_median_ms,before_gc_count,after_gc_count,delta_gc_count,before_bench_allocated_bytes,after_bench_allocated_bytes,delta_bench_allocated_bytes,before_first_r_allocated_bytes,after_first_r_allocated_bytes,delta_first_r_allocated_bytes,before_first_r_largest_allocation_bytes,after_first_r_largest_allocation_bytes,delta_first_r_largest_allocation_bytes,before_first_owned_capture,after_first_owned_capture,delta_first_owned_capture,before_first_compact_copy,after_first_compact_copy,delta_first_compact_copy,before_first_staged_new,after_first_staged_new,delta_first_staged_new,before_first_old_journal,after_first_old_journal,delta_first_old_journal,before_first_native_scratch_allocated,after_first_native_scratch_allocated,delta_first_native_scratch_allocated,before_first_mutation_target_copy,after_first_mutation_target_copy,delta_first_mutation_target_copy,before_first_validation_scan_calls,after_first_validation_scan_calls,delta_first_validation_scan_calls,before_first_validation_scanned_values,after_first_validation_scanned_values,delta_first_validation_scanned_values,before_warm_r_allocated_bytes,after_warm_r_allocated_bytes,delta_warm_r_allocated_bytes,before_warm_r_largest_allocation_bytes,after_warm_r_largest_allocation_bytes,delta_warm_r_largest_allocation_bytes,before_warm_owned_capture,after_warm_owned_capture,delta_warm_owned_capture,before_warm_compact_copy,after_warm_compact_copy,delta_warm_compact_copy,before_warm_staged_new,after_warm_staged_new,delta_warm_staged_new,before_warm_old_journal,after_warm_old_journal,delta_warm_old_journal,before_warm_native_scratch_allocated,after_warm_native_scratch_allocated,delta_warm_native_scratch_allocated,before_warm_mutation_target_copy,after_warm_mutation_target_copy,delta_warm_mutation_target_copy,before_warm_validation_scan_calls,after_warm_validation_scan_calls,delta_warm_validation_scan_calls,before_warm_validation_scanned_values,after_warm_validation_scanned_values,delta_warm_validation_scanned_values,median_ratio,investigation_flag
100000,8,left_unique,public,100000.0,100000.0,0.0,17.0,17.0,0.0,60.1837770082057,56.5431410213932,-3.640635986812505,11.0,11.0,0.0,35390408.0,36191600.0,801192.0,37302672.0,37864808.0,562136.0,1600048.0,1600048.0,0.0,800000.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35417168.0,36218360.0,801192.0,1600048.0,1600048.0,0.0,800000.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395080174792598,False
100000,8,left_unique,predecessor_safe_reference,100000.0,100000.0,0.0,17.0,17.0,0.0,58.5400050331373,56.5431410213932,-1.9968640117441012,10.0,11.0,1.0,35390224.0,36191600.0,801376.0,35466224.0,37864808.0,2398584.0,1600048.0,1600048.0,0.0,800000.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35390224.0,36218360.0,828136.0,1600048.0,1600048.0,0.0,800000.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9658888992132175,False
1000000,8,left_unique,predecessor_safe_reference,1000000.0,1000000.0,0.0,17.0,17.0,0.0,584.509243024513,561.710742011201,-22.798501013312034,20.0,17.0,-3.0,357890608.0,365891984.0,8001376.0,357890608.0,365891984.0,8001376.0,16000048.0,16000048.0,0.0,8000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357890608.0,365891984.0,8001376.0,16000048.0,16000048.0,0.0,8000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960995482474593,False
1000000,8,left_unique,public,1000000.0,1000000.0,0.0,17.0,17.0,0.0,588.647372991545,561.710742011201,-26.936630980344034,17.0,17.0,0.0,357890792.0,365891984.0,8001192.0,357890792.0,365891984.0,8001192.0,16000048.0,16000048.0,0.0,8000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357890792.0,365891984.0,8001192.0,16000048.0,16000048.0,0.0,8000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9542397839245417,False
100000,16,left_unique,public,100000.0,100000.0,0.0,33.0,33.0,0.0,65.5969250074122,58.3315200055949,-7.265405001817292,1.0,1.0,0.0,45807640.0,46609064.0,801424.0,45807640.0,46609064.0,801424.0,1600048.0,1600048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45807640.0,46609064.0,801424.0,1600048.0,1600048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8892416831887116,False
100000,16,left_unique,predecessor_safe_reference,100000.0,100000.0,0.0,33.0,33.0,0.0,67.2265110479202,58.3315200055949,-8.894991042325294,7.0,1.0,-6.0,45806656.0,46609064.0,802408.0,45806656.0,46609064.0,802408.0,1600048.0,1600048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45806656.0,46609064.0,802408.0,1600048.0,1600048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8676862609159534,False
1000000,16,left_unique,predecessor_safe_reference,1000000.0,1000000.0,0.0,33.0,33.0,0.0,654.511289991206,592.802067025332,-61.709222965874005,22.0,25.0,3.0,461907040.0,469909448.0,8002408.0,461907040.0,469909448.0,8002408.0,16000048.0,16000048.0,0.0,16000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461907040.0,469909448.0,8002408.0,16000048.0,16000048.0,0.0,16000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9057170992929654,False
1000000,16,left_unique,public,1000000.0,1000000.0,0.0,33.0,33.0,0.0,667.317845014622,592.802067025332,-74.51577798928997,17.0,25.0,8.0,461908024.0,469909448.0,8001424.0,461908024.0,469909448.0,8001424.0,16000048.0,16000048.0,0.0,16000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461908024.0,469909448.0,8001424.0,16000048.0,16000048.0,0.0,16000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8883354033674055,False
100000,8,inner_double,public,200000.0,200000.0,0.0,17.0,17.0,0.0,96.0711180232465,89.9059069924988,-6.165211030747699,0.0,1.0,1.0,62515368.0,64116560.0,1601192.0,62530192.0,64116560.0,1586368.0,2400048.0,2400048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62515368.0,64116560.0,1601192.0,2400048.0,2400048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9358265922412198,False
100000,8,inner_double,predecessor_safe_reference,200000.0,200000.0,0.0,17.0,17.0,0.0,97.4831990315579,89.9059069924988,-7.5772920390591025,5.0,1.0,-4.0,62515184.0,64116560.0,1601376.0,62515184.0,64116560.0,1601376.0,2400048.0,2400048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62515184.0,64116560.0,1601376.0,2400048.0,2400048.0,0.0,1600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922270790101932,False
