number,code,label_text
1.00000000000000000e+20,50,1.00000000000e+20
-1.00000000000000000e+20,4,-1.00000000000e+20
1.23456789012345680e+16,47,1.23456789012e+16
1.23456789012345680e+17,48,1.23456789012e+17
1.23456789012345677e+18,49,1.23456789012e+18
1.00000000000000002e-08,21,1.00e-08
9.99999999999999945e-21,20,1.00e-20
1.23456789012345602e+00,33,1.234568
-1.23456789012345602e+00,11,-1.234568
9.99999999899999992e-01,31,1
1.00000000000000000e+21,51,1.00000000000e+21
-1.00000000000000000e+21,3,-1.00000000000e+21
9.99999999999999955e-08,23,1.00e-07
9.99999999999999955e-07,25,1.00e-06
-1.00000000000000002e-08,15,-1.00e-08
1.23456010000000009e+06,35,1234560
1.23456789000000004e+07,39,1.23e+07
9.99999990000000037e+06,37,1.00e+07
9.99999989999999991e+05,34,1000000
9.99999999999990000e+13,40,99999999999999
9.99999999999999000e+14,43,999999999999999
1.00000000000000000e+16,46,1.00000000000e+16
1.00000000010000001e+00,32,1
9.99999989999999919e-07,24,1.00e-06
1.00000000000000000e+14,41,100000000000000
1.00000000000000000e+15,44,1000000000000000
-1.00000000000000000e+15,6,-1000000000000000
1.23456789012345000e+14,42,123456789012345
1.23456789012345600e+15,45,1234567890123456
-1.23456789012345000e+14,7,-123456789012345
-1.23456789012345600e+15,5,-1234567890123456
9.89999999999999998e-08,22,9.90e-08
1.23456780000000005e+06,36,1234568
1.23456780999999996e+07,38,1.23e+07
-1.23456010000000009e+06,10,-1234560
-1.23456780000000005e+06,9,-1234568
-1.23456780999999996e+07,8,-1.23e+07
1.00000000000000008e-05,28,.00001
1.00000000000000005e-04,30,.0001
1.23456788999999999e-06,26,1.23e-06
1.23456789000000004e-05,29,.0000123
9.99999899999999973e-06,27,1.00e-05
-9.99999899999999973e-06,14,-1.00e-05
-1.00000000000000008e-05,13,-.00001
-1.00000000000000005e-04,12,-.0001
1.00000000000000002e+100,52,1.0000000000e+100
-1.00000000000000002e+100,2,-1.0000000000e+100
1.00000000000000005e+300,53,1.0000000000e+300
-1.00000000000000005e+300,1,-1.0000000000e+300
1.00000000000000002e-100,19,1.0e-100
-1.00000000000000002e-100,16,-1.0e-100
1.00000000000000003e-300,18,1.0e-300
-1.00000000000000003e-300,17,-1.0e-300
