case,position,x,row_total,total,mean
1,1,1.00000000000000000e+16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
1,2,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
1,3,-1.00000000000000000e+16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
2,1,1.00000000000000000e+16,1.00000000000000000e+00,1.00000000000000000e+00,3.33333333333333315e-01
2,2,-1.00000000000000000e+16,1.00000000000000000e+00,1.00000000000000000e+00,3.33333333333333315e-01
2,3,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,3.33333333333333315e-01
3,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3,2,1.00000000000000000e+16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3,3,-1.00000000000000000e+16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
4,1,-1.00000000000000000e+16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
4,2,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
4,3,1.00000000000000000e+16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
5,1,1.00000000000000000e+20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
5,2,1.00000000000000000e+03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
5,3,-1.00000000000000000e+20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
6,1,9.99999999999999945e-21,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
6,2,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
6,3,-1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
7,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
7,2,9.99999999999999945e-21,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
7,3,-1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
8,1,1.00000000000000000e+16,4.00000000000000000e+00,4.00000000000000000e+00,1.33333333333333326e+00
8,2,3.00000000000000000e+00,4.00000000000000000e+00,4.00000000000000000e+00,1.33333333333333326e+00
8,3,-1.00000000000000000e+16,4.00000000000000000e+00,4.00000000000000000e+00,1.33333333333333326e+00
